Season,Winner,Runner-up,Third
1955 Oslo,Hans Krausner Josef Thaler Austria,Josef Isser Maria Isser Austria,Josef Strillinger Fritz Nachmann West Germany
1957 Davos,Fritz Nachmann Josef Strillinger West Germany,Giorgio Pichler Giovanni Graber Italy,Erich Raffl Ewald Walch Austria
1958 Krynica,Fritz Nachmann Josef Strillinger West Germany,Jerzy Koszla Janina Susczewska Poland,Ryszard Pędrak-Janowicz Halina Lacheta Poland
1960 Garmisch-Partenkirchen,Reinhold Frosch Ewald Walch Austria,Herbert Thaler Helmut Thaler Austria,Horst Tiedge Hans Plenk West Germany
1961 Girenbad,Roman Pichler Enrico Prinot Italy,David Moroder Raimondo Prinot Italy,Helmut Thaler Reinhold Senn Austria
1962 Krynica,Giovanni Graber Gianpaolo Ambrosi Italy,Fritz Nachmann Max Leo West Germany,Manfred Novotný Petr Škrabálek Czechoslovakia
1963 Imst,Ryszard Pędrak-Janowicz Lucjan Kudzia Poland,Edward Fender Mieczysław Pawełkiewicz Poland,Anton Venier Ewald Walch Austria
1965 Davos,Wolfgang Scheidel Michael Köhler East Germany,Klaus Bonsack Thomas Köhler East Germany,Horst Hömlein Rolf Fuchs East Germany
1967 Hammarstrand,Klaus Bonsack Thomas Köhler East Germany,Manfred Schmid Ewald Walch Austria,Siegfried Maier Ernesto Maier Italy
1969 Königssee,Manfred Schmid Ewald Walch Austria,Horst Hömlein Reinhard Bredlow East Germany,Klaus Bonsack Michael Köhler East Germany
1970 Königssee,Manfred Schmid Ewald Walch Austria,Klaus Bonsack Michael Köhler East Germany,Horst Hömlein Reinhard Bredlow East Germany
1971 Olang,Paul Hildgartner Walter Plaikner Italy,Manfred Schmid Ewald Walch Austria,Horst Hömlein Reinhard Bredlow East Germany
1973 Oberhof,Horst Hömlein Reinhard Bredlow East Germany,Hans Rinn Norbert Hahn East Germany,Paul Hildgartner Walter Plaikner Italy
1974 Königssee,Bernd Hahn Ulrich Hahn East Germany,Henning Schulze Hans-Jörg Neumann East Germany,Rudolf Schmid Franz Schachner Austria
1975 Hammarstrand,Hans Rinn Norbert Hahn East Germany,Horst Müller Hans-Jörg Neumann East Germany,Rudolf Schmid Franz Schachner Austria
1977 Innsbruck,Hans Rinn Norbert Hahn East Germany,Karl Brunner Peter Gschnitzer Italy,Hans Brandner Balthasar Schwarm West Germany
1978 Imst,Dainis Bremze Aigars Kriķis Soviet Union,Valeriy Yakushin Vladimir Shitov Soviet Union,Hans Rinn Norbert Hahn East Germany
1979 Königssee,Hans Brandner Balthasar Schwarm West Germany,Hans Rinn Norbert Hahn East Germany,Anton Winkler Franz Wembacher West Germany
1981 Hammarstrand,Bernd Hahn Ulrich Hahn East Germany,Bernd Oberhoffner Jörg-Dieter Ludwig East Germany,Hans Stangassinger Franz Wembacher West Germany
1983 Lake Placid,Jörg Hoffmann Jochen Pietzsch East Germany,Hansjörg Raffl Norbert Huber Italy,Hans Stangassinger Franz Wembacher West Germany
