Medal,Name,Sport,Event
Gold,Erik Bladström Sven Johansson,Canoeing,Men 's F2 10000 m
Gold,Torsten Ullman,Shooting,Men 's free pistol
Gold,Rudolf Svedberg,Wrestling ( Greco-Roman ),Men 's welterweight
Gold,Ivar Johansson,Wrestling ( Greco-Roman ),Men 's middleweight
Gold,Axel Cadier,Wrestling ( Greco-Roman ),Men 's light-heavyweight
Gold,Knut Fridell,Wrestling ( freestyle ),Men 's light-Heavyweight
Silver,Gösta Almgren Birger Cederin Hans Drakenberg Gustaf Dyrssen Hans Granfelt Sven Thofelt,Fencing,Men 's team épée
Silver,Egon Svensson,Wrestling ( Greco-Roman ),Men 's bantamweight
Silver,John Nyman,Wrestling ( Greco-Roman ),Men 's heavyweight
Silver,Thure Andersson,Wrestling ( freestyle ),Men 's welterweight
Silver,Arvid Laurin Uno Wallentin,Sailing,Men 's star class
Bronze,Henry Jonsson,Athletics,Men 's 5000 m
Bronze,Fred Warngård,Athletics,Men 's Hammer throw
Bronze,Erik Ågren,Boxing,Men 's lightweight
Bronze,Tage Fahlborg Helge Larsson,Canoeing,Men 's K2 10000 m
Bronze,Gregor Adlercreutz Sven Colliander Folke Sandström,Equestrian,Team dressage
Bronze,Torsten Ullman,Shooting,Men 's rapid-fire pistol
Bronze,Einar Karlsson,Wrestling ( Greco-Roman ),Men 's featherweight
Bronze,Gösta Jönsson,Wrestling ( freestyle ),Men 's featherweight
Bronze,Lennart Ekdahl Martin Hindorff Torsten Lord Dagmar Salén Sven Salén,Sailing,Men 's 6 metre class
