Team,City,Autonomous community,Arena
Aquimisa Carbajosa,Carbajosa de la Sagrada,Castile and León,Municipal
Ávila Auténtica Carrefour El Bulevar,Ávila,Castile and León,Carlos Sastre
Basket León,León,Castile and León,Palacio de los Deportes
Caja Rural de Zamora,Zamora,Castile and León,Ángel Nieto
Calvo Basket Xiria,Carballo,Galicia,Vila de Noia
Estudiantes Lugo Leyma Natura,Lugo,Galicia,Pazo dos Deportes
Gijón Basket 2015,Gijón,Asturias,Palacio de Deportes
KFC Culle,Culleredo,Galicia,O Burgo
Obradoiro B Silleda,Santiago de Compostela,Galicia,Fontes do Sar
Porriño Baloncesto Base,O Porriño,Galicia,Porriño 2
Santo Domingo Betanzos,Betanzos,Galicia,Municipal
Ucoga Seguros CB Chantada,Chantada,Galicia,Municipal
Universidad de Valladolid,Valladolid,Castile and León,Fuente de la Mora
USAL La Antigua,Salamanca,Castile and León,Würzburg
