Position,Player,Transferred from,Date
GK,Yazid Yasin,Geylang United,19 November 2012
MF,Atsushi Shimono,Albirex Niigata ( S ),7 December 2012
DF,Shahril Alias,Geylang United,1 January 2013
MF,Ang Zhiwei,Geylang United,1 January 2013
DF,Hidhir Hasbiallah,Police Sports Association,1 January 2013
FW,Fadhil Noh,Home United,2 January 2013
MF,Taufiq Rahmat,LionsXII,8 January 2013
FW,Jang Jo-yoon,Free Transfer,11 January 2013
DF,Rosman Sulaiman,Home United,12 January 2013
MF,Khalid Hamdaoui,Free transfer,14 January 2013
MF,Ridhwan Osman,Hougang United,16 January 2013
DF,Cho Sung-hwan,FC Pocheon,30 January 2013
MF,Farouq Farkhan,Gombak United,31 January 2013
DF,Shariff Abdul Samat,Free Transfer,2 February 2013
