Position,Nationality,Artist,Weeks # 1
1,Netherlands,André Hazes,14
2,Netherlands,Gerard Joling,11
3,United Kingdom,Mika,7
4,Netherlands,Jan Smit,6
5,Netherlands,Jeroen van der Boom,4
6,Netherlands,Sharon Kips,3
6,United States,Beyoncé,3
6,Colombia,Shakira,3
6,Netherlands,André Hazes jr,3
7,Ireland,U2,2
7,Canada,Nelly Furtado,2
7,Netherlands,Theo Maassen,2
7,Netherlands,Jeckyll & Hyde,2
7,Netherlands,Guus Meeuwis,2
7,Barbados,Rihanna,2
8,Netherlands and United Kingdom,XYP,1
8,Netherlands,Nienke,1
8,United States,Timbaland,1
8,United States,OneRepublic,1
