PIM application,Platform ( s ),Software license,Notes
askSam,"DOS , Windows",Commercial,Free form database
Backpack,Web,Commercial,Todo list and calendar
Chandler,"Linux , OS X , Windows",Apache,Free form approach based on Lotus Agenda
Ecco Pro,Windows,Freeware,"organizes information via full power outline and tag assignments . ( Tags can contain text , numeric , or date data . Date data automatically mapped to calendar . )"
Google Notebook,Web,Freeware,"deprecated by Google Docs , Google Keep"
Haystack,all operating systems with POSIX and Java,MIT,
Hula,Linux,GPL,Replaced by Bongo project
IBM Lotus Organizer,Windows,Commercial,2003-2013
ideaList,"DOS , Windows , Mac",Commercial,Free form database
Lotus Agenda,DOS,Freeware,deprecated by IBM Lotus Organizer
Meeting Maker,"Linux , OS X , Solaris",Commercial,
Microsoft Entourage,OS X,Commercial,deprecated by Microsoft Outlook for Mac
"MORE , GrandView","Classic Mac OS , DOS",Commercial,1986-1990
Mozilla Calendar Project,"Linux , BSD UNIX , OpenSolaris , Solaris , OS X , Windows , OS/2",MPL,deprecated by Lightning
Mozilla Sunbird,"Linux , BSD UNIX , OpenSolaris , Solaris , OS X , Windows , OS/2","MPL , GPL , LGPL",deprecated by Lightning
Palm Desktop,"Mac OS , Windows",Commercial,
Sidekick,"DOS , Windows",Commercial,1983-1999
Spicebird,Cross-platform,"GPL , LGPL , MPL",deprecated by Lightning
