Church,Dates,"City , State"
Indian River Baptist Church,built NRHP-listed,"Addison , Maine"
Free Baptist Church,built NRHP-listed,"Auburn , Maine"
First Baptist Church of Bowdoin and Coombs Cemetery,built NRHP-listed,"Bowdoin Center , Maine"
Damariscotta Baptist Church,built NRHP-listed,"Damariscotta , Maine"
"First Baptist Church ( E. Lamoine , Maine )",built NRHP-listed,"E. Lamoine , Maine"
East Harpswell Free Will Baptist Church,built NRHP-listed,"East Harpswell , Maine"
Eastbrook Baptist Church and Eastbrook Town House,built NRHP-listed,"Eastbrook , Maine"
Free Will Baptist Meetinghouse,built NRHP-listed,"Farmington , Maine"
Free Will Baptist Church ( Former ),built NRHP-listed,"Milo , Maine"
Free Will Baptist Church and Cemetery,built NRHP-listed,"North Islesboro , Maine"
"First Baptist Church ( Portland , Maine )",built NRHP-listed,"Portland , Maine"
"First Baptist Church ( Sedgwick , Maine )",built NRHP-listed,"Sedgwick , Maine"
"First Baptist Church , Former",built NRHP-listed,"Skowhegan , Maine"
"First Baptist Church ( Waterboro , Maine )",built NRHP-listed,"Waterboro , Maine"
"First Baptist Church ( Waterville , Maine )",built NRHP-listed,"Waterville , Maine"
Wells Baptist Church Parsonage,built NRHP-listed,"Wells , Maine"
North Yarmouth and Freeport Baptist Meetinghouse,built NRHP-listed,"Yarmouth , Maine"
