Title,Theme ( s ) and subtheme ( s ),Author ( s ),Year ( s ),ISBN ( s )
1491 : New Revelations of the Americas Before Columbus,Population,Charles C. Mann,2005,".mw-parser-output cite.citation { font-style : inherit } .mw-parser-output .citation q { quotes : \\ '' } .mw-parser-output .id-lock-free a , .mw-parser-output .citation .cs1-lock-free a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output .id-lock-limited a , .mw-parser-output .id-lock-registration a , .mw-parser-output .citation .cs1-lock-limited a , .mw-parser-output .citation .cs1-lock-registration a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output .id-lock-subscription a , .mw-parser-output .citation .cs1-lock-subscription a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output .cs1-subscription , .mw-parser-output .cs1-registration { color : # 555 } .mw-parser-output .cs1-subscription span , .mw-parser-output .cs1-registration span { border-bottom:1px dotted ; cursor : help } .mw-parser-output .cs1-ws-icon a { background : url ( //upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png ) no-repeat ; background-position : right .1em center } .mw-parser-output code.cs1-code { color : inherit ; background : inherit ; border : inherit ; padding : inherit } .mw-parser-output .cs1-hidden-error { display : none ; font-size:100% } .mw-parser-output .cs1-visible-error { font-size:100% } .mw-parser-output .cs1-maint { display : none ; color : # 33aa33 ; margin-left:0.3em } .mw-parser-output .cs1-subscription , .mw-parser-output .cs1-registration , .mw-parser-output .cs1-format { font-size:95% } .mw-parser-output .cs1-kern-left , .mw-parser-output .cs1-kern-wl-left { padding-left:0.2em } .mw-parser-output .cs1-kern-right , .mw-parser-output .cs1-kern-wl-right { padding-right:0.2em } ISBN 978-1-4000-4006-3"
Abundance : The Future Is Better Than You Think,Various themes,Peter Diamandis and Steven Kotler,2012,ISBN 978-1-4516-1421-3
Agricultural Involution : The Processes of Ecological Change in Indonesia,Agriculture,Clifford Geertz,1963,
"Alternative Energy : Political , Economic , and Social Feasibility",Energy,Christopher A. Simon,2006,ISBN 0-7425-4908-9 ; ISBN 978-0-7425-4908-1 ; ISBN 0-7425-4909-7 ; ISBN 978-0-7425-4909-8
AP 42 Compilation of Air Pollutant Emission Factors,Pollution : air pollution,,1968,
An Appeal to Reason : A Cool Look at Global Warming,Global warming,Nigel Lawson,2008,ISBN 978-0-7156-3786-9 ( UK ) ; ISBN 978-1-59020-084-1 ( US )
Aqueous Wastes from Petroleum and Petrochemical Plants,Waste : oil refinery and petrochemical wastewaters,Milton R. Beychok,1967,
Atlas of Our Changing Environment,Climate change,United Nations Environment Programme,2005-,
Awful Splendour : A Fire History of Canada,Wildfires : in Canada,Stephen J. Pyne,2007,
"Babylon 's Ark , The Incredible Wartime Rescue of the Baghdad Zoo",Wildlife conservation,Lawrence Anthony and Graham Spence,,
Beyond the Limits,Population,"Donella Meadows , Dennis Meadows , Jorgen Randers",1992,ISBN 0-930031-62-8
Beyond Oil : The View from Hubbert 's Peak,Energy,Kenneth S. Deffeyes,2006,
Big Coal : The Dirty Secret Behind America 's Energy Future,Pollution,Jeff Goodell,2006,ISBN 978-0-618-87224-4
A Big Fix : Radical Solutions for Australia 's Environmental Crisis,Various themes,Ian Lowe,2005,
Biohazard : The Chilling True Story of the Largest Covert Biological Weapons Program in the World - Told from Inside by the Man Who Ran It,,Ken Alibek,1999,ISBN 0-385-33496-6
Blessed Unrest : How the Largest Movement in the World Came into Being and Why No One Saw It Coming,Environmentalism,Paul Hawken,2007,ISBN 978-0-670-03852-7
The Blue Economy,Technology : biomimetics,Gunter Pauli,2010,ISBN 978-0-912111-90-2
A Blueprint for Survival,Survival,Edward Goldsmith and Robert Allen,1972,
Bountiful Harvest,Anti-environmentalism,Thomas R. DeGregori,2002,ISBN 1-930865-31-7
Brittle Power : Energy Strategy for National Security,Energy,Amory Lovins and L. Hunter Lovins,1982,ISBN 0-931790-28-X
