Rank,Country,Team,Points
1,France,Henri Dartigues Robert Courtier Robert Marchal Georges Boue René Granier Georges Leclerc,31
2,England,Bill Cotterell Jack Winfield Tommy Kay Ernie Harper Jack Holden Harry Payne,74
3,Spain,Jesús Oyarbide Arturo Peña José Reliegos German Campo Claudio Egana Miguel Moreno,117
4,Belgium,Maurice Maréchal Leon Degrande René Geeraert Léon Broers Jean Linsen Oscar van Rumst,180
5,Scotland,John Suttie Smith Frank Stevenson Jimmy Wood Charles Wilson Dunky Wright Tom Whitton,189
6,Italy,Giuseppe Lippi Aurelio Badiali Giovanni Amerio Giuseppe Venturi Luigi Prato Giacinto Falchero,232
7,Ireland,Tom Fanning Tim Smythe Carry Conlon W.A . McCune P. McCully John Timmins,281
8,Switzerland,Julien Schnellmann Marius Schiavo William Marthe Hans Wehrli Marcel Vernez Ernest Violi,288
9,Wales,Ernie Thomas David Richards Sen. E.R . Leyshon Frank Denmead S. Driscoll Ossie Williams,333
10,Luxembourg,Jean Haag Michel Medinger C. Olinger Pierre Scholtes Theo Backes Pierre Beicht,432
