Year,Winner,Party
1977,P. Ankineedu Prasada Rao,Indian National Congress
1980,P. Ankineedu Prasada Rao,Indian National Congress
1984,Chimata Sambu,Telugu Desam Party
1989,Salagala Benjamin,Indian National Congress
1991,Daggubati Venkateswara Rao,Telugu Desam Party
1996,Ummareddy Venkateswarlu,Telugu Desam Party
1998,Nedurumalli Janardhana Reddy,Indian National Congress
1999,Daggubati Ramanaidu,Telugu Desam Party
2004,Daggubati Purandareswari,Indian National Congress
2009,Lakshmi Panabaka,Indian National Congress
2014,Malyadri Sriram,Telugu Desam Party
2019,Nandigam Suresh,YSR Congress Party
