Player,Games,Team,Season
Joe DiMaggio,56,New York Yankees,1941
Willie Keeler,"45 ( 1 , 44 )",Baltimore Orioles,1896 - 1897
Pete Rose,44,Cincinnati Reds,1978
Bill Dahlen,42,Chicago Colts,1894
George Sisler,41,St. Louis Browns,1922
Ty Cobb,40,Detroit Tigers,1911
Paul Molitor,39,Milwaukee Brewers,1987
Jimmy Rollins,"38 ( 36 , 2 )",Philadelphia Phillies,2005 - 2006
Tommy Holmes,37,Boston Braves,1945
Gene DeMontreville,36,Washington Senators,1896 - 1897
Fred Clarke,35,Louisville Colonels,1895
Ty Cobb,35,Detroit Tigers,1917
George Sisler,"35 ( 1 , 34 )",St. Louis Browns,1924 - 1925
Luis Castillo,35,Florida Marlins,2002
Chase Utley,35,Philadelphia Phillies,2006
George McQuinn,34,St. Louis Browns,1938
Dom DiMaggio,34,Boston Red Sox,1949
Benito Santiago,34,San Diego Padres,1987
George Davis,33,New York Giants,1893
Hal Chase,33,New York Highlanders,1907
