Name of Town,State,Type,Population ( 2011 )
Nabarangapur,Odisha,M,"29,960"
Nabha,Punjab,M.Cl,"67,972"
Nadbai,Rajasthan,M,"26,411"
Nagar,Rajasthan,M,"25,572"
Nagari,Andhra Pradesh,M,"62,253"
Nagarkurnool,Telangana,C.T,"26,801"
Nagina,Uttar Pradesh,N.P.P,"95,246"
Nagla,Uttarakhand,C.T,"22,258"
Nahan,Himachal Pradesh,M.Cl,"28,899"
Naharlagun,Arunachal Pradesh,N.T,"36,158"
Naidupet,Andhra Pradesh,M,"65,000"
Naila Janjgir,Chhattisgarh,M,"40,561"
Nainital,Uttarakhand,N.P.P,"41,377"
Nainpur,Madhya Pradesh,M,"22,607"
Najibabad,Uttar Pradesh,M.B,"88,535"
Nakodar,Punjab,M.Cl,"36,973"
Nakur,Uttar Pradesh,N.P.P,"22,712"
Nalbari,Assam,M.B,"27,839"
Namagiripettai,Tamil Nadu,T.P,"21,250"
Namakkal,Tamil Nadu,M,"55,145"
