Season,Winner,Runner-up,Third
1989,Soviet Union Juri Kashkarov Sergei Bulygin Alexandr Popov Sergei Tchepikov,West Germany Franz Wudy Herbert Fritzenwenger Georg Fischer Fritz Fischer,East Germany Andreas Heymann André Sehmisch Raik Dittrich Steffen Hoos
1990,East Germany Raik Dittrich Mark Kirchner Birk Anders Frank Luck,Czechoslovakia Tomáš Kos Ivan Masařík Jiří Holubec Jan Matouš,France Christian Dumont Stéphane Bouthiaux Hervé Flandin Thierry Gerbier
1991,Italy Hubert Leitgeb Gottlieb Taschler Simon Demetz Wilfried Pallhuber,Norway Sverre Istad Jon Åge Tyldum Ivar Michal Ulekleiv Frode Løberg,Soviet Union Anatoliy Zdanovich Sergei Tarasov Sergei Tchepikov Valeriy Medvedtsev
1992,CIS Eugeni Redkine Alexander Tropnikov Anatoly Zhdanovich Alexandr Popov,Norway Frode Løberg Jon Åge Tyldum Sylfest Glimsdal Gisle Fenne,Estonia Aivo Udras Hillar Zahkna Urmas Kaldvee Kalju Ojaste
1993,Germany Fritz Fischer Frank Luck Steffen Hoos Sven Fischer,Russia Aleksei Kobelev Valeri Kiriyenko Sergei Loschkin Sergei Tchepikov,France Gilles Marguet Thierry Dusserre Xavier Blond Lionel Laurent
1994,Italy Pieralberto Carrara Hubert Leitgeb Andreas Zingerle Wilfried Pallhuber,Russia Vladimir Drachev Alexei Kobelev Valeri Kiriyenko Sergei Tarasov,Germany Jens Steinigen Marco Morgenstern Peter Sendel Steffen Hoos
1995,Norway Frode Andresen Dag Bjørndalen Halvard Hanevold Jon Åge Tyldum,Czech Republic Petr Garabík Roman Dostál Jiří Holubec Ivan Masařík,France Thierry Dusserre Franck Perrot Lionel Laurent Stéphane Bouthiaux
1996,Belarus Petr Ivashko Oleg Ryzhenkov Alexandr Popov Vadim Sashurin,Russia Vladimir Drachev Pavel Mouslimov Viktor Maigourov Sergei Rozhkov,Italy René Cattarinussi Hubert Leitgeb Pieralberto Carrara Patrick Favre
1997,Belarus Oleg Ryzhenkov Petr Ivashko Alexandr Popov ( 4 ) Vadim Sashurin,Germany Carsten Heymann Mark Kirchner Frank Luck Peter Sendel,Poland Wiesław Ziemianin Jan Ziemianin Wojciech Kozub Tomasz Sikora
1998,Norway Egil Gjelland Halvard Hanevold Sylfest Glimsdal Ole Einar Bjørndalen,Germany Ricco Groß Carsten Heymann Sven Fischer Frank Luck,Russia Vladimir Drachev Alexei Kobelev Sergei Rozhkov Viktor Maigourov
