Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Belasitsa,Mihail Valchev,,,Vitosha AD
Beroe,Venelin Sivriev,Vanyo Shishkov,Erima,
Cherno More,Aleksandar Stankov,Ventsislav Marinov,BURGELOF,St. Elias
Chernomorets,Ivan Tsvetanov,Kostadin Dzhambazov,,
CSKA Sofia,Luigi Simoni,Georgi Antonov,Lotto,-
Levski Sofia,Slavoljub Muslin,Stanimir Stoilov,Diadora,Mobiltel
Lokomotiv Plovdiv,Dimitar Dimitrov,,Asics,VAI Holding
Lokomotiv Sofia,Emil Dimitrov,,Adidas,Delta-G
Litex,Ferario Spasov,Vitomir Vutov,Asics,Litex Commerce
Marek,Dimitar Aleksiev,Velizar Dimitrov,Nike,
Naftex,Dimitar Stoychev,Stanimir Dimitrov,Puma,Petrol AD
Slavia Sofia,Žarko Olarević,Veselin Vachev,Adidas,Sofiyski Imoti
Spartak Pleven,Angel Stankov,Slavcho Pavlov,Asics,VIS-2
Spartak Varna,Stefan Grozdanov,Valentin Stanchev,,
