#,Film,Date,Director,Source work,Date,Type,TV Series or Sequel,Date
1,Blade Runner,1982,Ridley Scott,Do Androids Dream of Electric Sheep ?,1968,Novel,Sequel : Blade Runner 2049,2017
2,Total Recall,1990,Paul Verhoeven,We Can Remember It for You Wholesale,1966,Short story,TV series : Total Recall 2070,1999
3,Confessions d'un Barjo,1992,Jérôme Boivin,Confessions of a Crap Artist,1975,Novel,-,-
4,Screamers,1995,Christian Duguay,Second Variety,1953,Short story,Sequel : Screamers : The Hunting,2009
5,Minority Report,2002,Steven Spielberg,The Minority Report,1956,Short story,TV series : Minority Report,2015
6,Impostor,2002,Gary Fleder,Impostor,1953,Short story,"Episode of TV series : Out of This World , adapted by Terry Nation",1962
7,Paycheck,2003,John Woo,Paycheck,1953,Short story,-,-
8,A Scanner Darkly,2006,Richard Linklater,A Scanner Darkly,1977,Novel,-,-
9,Next,2007,Lee Tamahori,The Golden Man,1953,Short story,-,-
10,Radio Free Albemuth,2010,John Alan Simon,Radio Free Albemuth,1976,Novel,-,-
11,The Adjustment Bureau,2011,George Nolfi,Adjustment Team,1954,Short story,-,-
12,Total Recall,2012,Len Wiseman,We Can Remember It for You Wholesale,1966,Short story,TV series : Total Recall 2070,1999
13,-,-,-,The Man in the High Castle,1962,Novel,TV series : The Man in the High Castle,2015
14,-,-,-,"The Hood Maker The Impossible Planet The Commuter Sales Pitch Exhibit Piece Human Is The Father-thing Autofac Foster , You 're Dead ! The Hanging Stranger",1955 1953 1953 1954 1954 1955 1954 1955 1955 1953,Short stories,TV series : Electric Dreams,2017-2018
