Player,Position,Year,Unanimous,Consensus,Selectors
Clyde Johnson,T,1942,No,No,AP
Bob Gain,T,1949,No,No,"All-Players , NY Sun , NEA"
Bob Gain,T,1950,Yes,Yes,"AP , UPI , INS , Camp , NEA , CP , FWAA-Look , AAB , FD , NYNews"
Babe Parilli,QB,1950,Yes,Yes,"AP , INS , Camp , Colliers , NY News , Sporting News , AA"
Bob Gain,QB,1951,Yes,Yes,"UP , INS , Camp , NEA , CP , AAB , NY News , All-Player"
Doug Moseley,C,1951,No,No,"AP , FWAA-Look"
Steve Meilinger,DE,1952,No,No,"AP , NEA , All-Player"
Steve Meilinger,DE,1953,No,No,"NEA , Colliers , AAB"
Ray Correll,DG,1953,No,No,"FWAA-Look , Chicago Tribun"
Howard Schnellenberger,DE,1955,No,Yes,AP
Lou Michaels,OT,1956,No,Yes,"UPI , NA , Camp , Colliers , NY News"
Lou Michaels,OT,1957,No,Yes,"AP , NEA , Camp , FWAA-Look , Coaches , NY News , Sporting News"
Irv Goode,C,1961,No,No,Time
Herschel Turner,T,1963,No,No,Time
Sam Ball,T,1965,No,Yes,"UPI , NEA , Camp , FWAA-Look , Coaches , Time , Sporting New"
Rodger Bird,HB,1965,No,No,"Time , NBC"
Rick Norton,QB,1965,No,No,"Time , NBC"
Elmore Stephens,TE,1974,No,No,Time
Rick Nuzum,C,1974,No,No,NEA
Warren Bryant,T,1976,No,No,"Camp , Coaches"
