Position,Name,School,ABCA,BA
Pitcher,Bryan Duquette,Hawaii,Y,Y
Pitcher,Randy Graham,Fresno State,Y,Y
Pitcher,Jon Furman,Pepperdine,-,Y
Pitcher,Don Heinkel,Wichita State,-,Y
Pitcher,Joe Kucharski,South Carolina,Y,-
Pitcher,Bryan Oelkers,Wichita State,-,Y
Catcher,Robbie Wine,Oklahoma State,Y,-
Catcher,Charlie O'Brien,Wichita State,-,Y
First baseman,Phil Stephenson ( 2 ) ♦,Wichita State,Y,Y
First baseman,Steve Stanicek,Nebraska,-,Y
Second baseman,Mark Wasinger,Old Dominion,Y,Y
Third baseman,Keith Mucha,Oral Roberts,-,Y
Third baseman,Jim Stewart,Virginia Tech,Y,-
Shortstop,Augie Schmidt,New Orleans,Y,Y
Outfielder,Jim Paciorek,Michigan,Y,Y
Outfielder,John Morris,Seton Hall,Y,Y
Outfielder,Jeff Ledbetter,Florida State,Y,Y
Designated hitter,Mike Rubel,Cal State Fullerton,Y,-
