Year,Winner ( s ),Work,Nominees
2006,Cueshé,Stay,Bamboo - Hallelujah Hale - The Day You Said Goodnight Orange and Lemons - Pinoy Ako Sponge Cola - Gemini
2007,Sponge Cola,Bitiw,Kamikazee - Narda Sandwich - Sugod Kamikazee - Doo Bidoo Callalily - Stars
2008,Sarah Geronimo,Ikaw,6cyclemind - Magsasaya Chicosci - Chicosci Vampire Social Club Silent Sanctuary - Ikaw Lamang Sugarfree - Wag Kang Nang Umiyak
2009,Sandwich,Betamax,Bamboo - Kailan Sponge Cola - Pasubali Hale - Pitong Araw Rico Blanco - Yugto
2010,Kyla and Jay-R,Back In Time,Rico Blanco - Antukin Sponge Cola - Di Na Mababawi Chicosci - Diamond Shotgun Pedicab - Simulan Mo Na
2011,Yeng Constantino,Jeepney Love Story,Slapshock - Cariño Brutal Tanya Markova - Disney 6cyclemind ( featuring Kean Cipriano & Yeng Constantino ) - Kung Wala Na Nga Parokya Ni Edgar - Pakiusap Lang ( Lasingin N'yo Ako )
2012,Parokya Ni Edgar ( featuring Happee Sy ),Pangarap Lang Kita,Pupil - 20/20 Zia Quizon - Ako Na Lang Somedaydream - Hey Daydreamer Gloc-9 ( featuring Sheng Belmonte ) - Walang Natira
2013,Gloc-9 ( featuring Ebe Dancel ),Sirena,Krissy and Ericka - 12:51 Julie Anne San Jose - I 'll Be There Never The Strangers - Moving Closer Quest - Sige Lang
2014,Gloc-9 ( featuring Rico Blanco ),Magda,Jireh Lim - Buko Yeng Constantino - Chinito Sarah Geronimo - Ikot-Ikot Daniel Padilla - Nasa Iyo Na Ang Lahat
2015,Daniel Padilla,Simpleng Tulad Mo,Kyla - Dito Na Lang KZ Tandingan - Mahal Ko O Mahal Ako James Reid and Nadine Lustre - No Erase Toni Gonzaga - This Love Is Like
2016,Nadine Lustre,Me & You,Bamboo - Firepower Darren Espanto - Stuck Sam Concepcion - Teka Break Julie Anne San Jose - Tidal Wave
2017,Sarah Geronimo,Tala,Darren Espanto - 7 Minutes Elmo Magalona - Kay Dali Bailey May and Ylona Garcia - O Pag-ibig James Reid - Randomantic
2018,James Reid,Cool Down,Jona - Ano Nga Ba Tayo ? Sarah Geronimo feat . Yeng Constantino - Kaibigan Mo Glaiza de Castro - Sa Yo Pa Rin Moira Dela Torre - Titibo-Tibo
2019,Juan Karlos,Buwan,IV of Spades - Mundo Moira Dela Torre - Tagpuan Shanti Dope - Nadarang Ben & Ben - Kathang-Isip
