Winner ( wager ),Loser ( wager ),Location,Event,Date
Universo 2000 ( mask ),Perro Aguayo ( hair ),Mexico City,Juicio Final,"March 30 , 2001"
Universo 2000 ( mask ),Bulldog ( mask ),Mexico City,Live event,"September 20 , 2002"
Universo 2000 ( mask ),Pierroth Jr. ( hair ),Mexico City,Sin Piedad,"December 5 , 2003"
El Canek ( mask ),Universo 2000 ( mask ),Mexico City,CMLL 71st Anniversary Show,"September 17 , 2004"
Universo 2000 ( hair ),Héctor Garza ( hair ),Mexico City,CMLL 72nd Anniversary Show,"September 16 , 2005"
Universo 2000 ( hair ),Halloween ( hair ),Mexico City,Juicio Final,"December 2 , 2005"
Perro Aguayo Jr. ( hair ),Universo 2000 ( hair ),Mexico City,Homenaje a Dos Leyendas,"March 17 , 2006"
Shocker and Universo 2000 ( hair ),Marco Corelone and Kenzo Suzuki ( hair ),Mexico City,Sin Piedad,"December 15 , 2006"
Marco Corleone ( hair ),Universo 2000 ( hair ),Mexico City,Homenaje a Dos Leyendas,"March 30 , 2007"
Rayo de Jalisco Jr. ( hair ),Universo 2000 ( hair ),Mexico City,Todo x el Todo live event,"June 22 , 2013"
