Name,Location,Length,Expected completion,Line
Brenner Base Tunnel,Austria/Italy ( Stubai Alps ),55 km ( 34.2 mi ),2028,Brenner Railway
Gaoligongshan Tunnel,China ( Yunnan ),34.531 km ( 21.5 mi ),2022,Dali-Ruili Railway
Koralm Tunnel,Austria ( Koralpe ),32.9 km ( 20.4 mi ),2026,Koralm Railway
Oshima Tunnel,Japan ( Hokkaido ),32.675 km ( 20.3 mi ),2031,Hokkaidō Shinkansen
Mangkangshan Tunnel,China ( Xizang ),29.403 km ( 18.3 mi ),2026,Kangding-Linzhi Railway
Ping'an Tunnel,China ( Sichuan ),"28.398 km ( 17.6 mi ) & 28.236 km ( 17.5 mi ) , 2 tubes",2020,Chengdu-Lanzhou Railway
Semmering Base Tunnel,Austria ( Raxalpe ),27.3 km ( 17.0 mi ),2026,Southern Railway
Sasson Tunnel,Japan ( Hokkaido ),26.23 km ( 16.3 mi ),2031,Hokkaidō Shinkansen
Musil Tunnel,South Korea ( Wonju ),25.1 km ( 15.6 mi ),2020,Jungang Line
Minshan Tunnel,China ( Sichuan ),25.047 km ( 15.6 mi ),2020,Chengdu-Lanzhou Railway
Pajares Base Tunnel,Spain,24.6 km ( 15.3 mi ),? ? ( on hold ),AVE León -Asturias
