Year,Event,Location,Players,Position
1992,30th Chess Olympiad,"Manila , Philippines","Aslanian , Khalafian , Danielian , Karakashian",33
1994,31st Chess Olympiad,"Moscow , Russia","Danielian , Aslanian , Grigorian , Airapetian",24
1996,32nd Chess Olympiad,"Yerevan , Armenia","Danielian , Hlgatian , Mkrtchian , Khalafian",20
1998,33rd Chess Olympiad,"Elista , Russia","Danielian , Hlgatian , Mkrtchian , Aginian",21
2000,34th Chess Olympiad,"Istanbul , Turkey","Danielian , Mkrtchian , Hlgatian , Aginian",10
2002,35th Chess Olympiad,"Bled , Slovenia","Danielian , Mkrtchian , Hlgatian , Galojan",15
2004,36th Chess Olympiad,"Calviá , Spain","Danielian , Mkrtchian , Aginian , Andriasian",11
2006,37th Chess Olympiad,"Turin , Italy","Mkrtchian , Danielian , Aginian , Andriasian",8
2008,38th Chess Olympiad,"Dresden , Germany","Danielian , Mkrtchian , Aginian , Galojan , Andriasian",6
2010,39th Chess Olympiad,"Khanty-Mansiysk , Russia","Danielian , Mkrtchian , Galojan , Aginian , Kharatian",11
2012,40th Chess Olympiad,"Istanbul , Turkey","Danielian , Mkrtchian , Galojan , Kursova , Hairapetian",6
2014,41st Chess Olympiad,"Tromsø , Norway","Danielian , Mkrtchian , Galojan , Kursova , Sargsyan",5
2016,42nd Chess Olympiad,"Baku , Azerbaijan",did not participate,
2018,43rd Chess Olympiad,"Batumi , Georgia","Danielian , Mkrtchian , Sargsyan , Kursova , Ghukasyan",
