Site,Municipality,Ref
Ataka Barrier Site 安宅の関 跡 Ataka no seki ato,Komatsu,[ 1 ]
Yoshimitsu Ichirizuka 吉光の一里塚 Yoshimitsu no ichirizuka,Nomi,[ 2 ]
Chūda Stele 中段の板碑 Chūda no itabi,Wajima,[ 3 ]
Gobyō Valley 御廟谷 Gobyō-tani,Kanazawa,[ 4 ]
Taira Takitada Family Graves 平時忠 卿及びその一族の墳 Taira Takitada oyobi ichisoku no haka,Suzu,[ 5 ]
Asainawate Battlefield 浅井畷古戦場 Asainawate ko-senjō,Komatsu,[ 6 ]
Former Fukura Lighthouse 旧福浦灯台 kyū-Fukura-tōdai,Shika,[ 7 ]
Ishibotokeyama Ritual Site 祭祀遺跡石仏山 saishi iseki Ishibotokeyama,Noto,[ 8 ]
Shibagaki Kofun Cluster 柴垣古墳群 Shibagaki kofun-gun,Hakui,[ 9 ]
Innaichokushizuka Kofun 院内勅使塚古墳 Innaichokushizuka kofun,Nanao,[ 10 ]
Ushitsusakiyama Jōmon Site 宇出津崎山縄文遺跡 Ushitsusakiyama Jōmon iseki,Noto,[ 11 ]
Pine-lined Former Entrance to Kanazawa 松並木の旧金沢下口往還 matsunamiki no kyū-Kanazawa shimoguchi ōkan,Kanazawa,[ 12 ]
Uketsukagoshi No.1 Kofun 宇気塚越一号墳 Uketsukagoshi ichigō-fun,Kahoku,[ 13 ]
Jitō-machi Mediaeval Cave Tombs ( Yagura ) 地頭町中世墳墓窟 ( やぐら ) 群 Jitō-machi chūsei funbo-gutsu ( yagura ) gun,Shika,[ 14 ]
Kanmachi Mandara Kofun Cluster 上町マンダラ古墳群 Kanmachi Mandara kofun-gun,Nanao,[ 15 ]
Yōkō-ji 永光寺 Yōkōji,Hakui,[ 16 ]
Myōsen-ji Stone Tō Group 明泉寺石塔群在地 Myōsenji sekitō-gun zaichi,Anamizu,[ 17 ]
Akakurayama 赤蔵山 Akakurayama,Nanao,[ 18 ]
Suemori Castle Site 末森城 跡 Suemori-jō ato,Hōdatsushimizu,[ 19 ]
Ōumi-Nishiyama Site 大海西山遺跡 Ōumi-Nishiyama iseki,Kahoku,[ 20 ]
