No,Name,Date of birth,Height,Weight,Spike,Block,2018-19 club
3,Khaled Ben Slimene,14 December 1994,1.93 m ( 6 ft 4 in ),78 kg ( 172 lb ),290 cm ( 110 in ),285 cm ( 112 in ),E.S . Tunis
4,Aymen Redissi,5 December 1992,1.75 m ( 5 ft 9 in ),75 kg ( 165 lb ),290 cm ( 110 in ),270 cm ( 110 in ),E.S . Tunis
5,Hosni Kara Mosly ( c ),1 June 1980,1.97 m ( 6 ft 6 in ),82 kg ( 181 lb ),338 cm ( 133 in ),315 cm ( 124 in ),E.S . Tunis
6,Mohamed Ali Ben Othmen Miladi,12 May 1991,1.88 m ( 6 ft 2 in ),73 kg ( 161 lb ),315 cm ( 124 in ),289 cm ( 114 in ),E.S . Tunis
7,Elyes Karamosli,22 August 1989,1.98 m ( 6 ft 6 in ),99 kg ( 218 lb ),330 cm ( 130 in ),320 cm ( 130 in ),E.S . Tunis
10,Hamza Nagga,29 May 1990,1.91 m ( 6 ft 3 in ),86 kg ( 190 lb ),335 cm ( 132 in ),311 cm ( 122 in ),E.S . Sahel
11,Ismaïl Moalla,30 January 1990,1.95 m ( 6 ft 5 in ),87 kg ( 192 lb ),324 cm ( 128 in ),308 cm ( 121 in ),C.S . Sfaxien
13,Selim Mbareki,6 March 1996,1.98 m ( 6 ft 6 in ),79 kg ( 174 lb ),320 cm ( 130 in ),305 cm ( 120 in ),C.O . Kelibia
14,Haykel Jerbi,4 April 1988,1.99 m ( 6 ft 6 in ),81 kg ( 179 lb ),280 cm ( 110 in ),290 cm ( 110 in ),E.S . Sahel
16,Mohamed Ayech,31 March 1991,1.98 m ( 6 ft 6 in ),86 kg ( 190 lb ),324 cm ( 128 in ),310 cm ( 120 in ),E.S . Sahel
17,Chokri Jouini,25 April 1989,1.96 m ( 6 ft 5 in ),72 kg ( 159 lb ),355 cm ( 140 in ),330 cm ( 130 in ),E.S . Tunis
18,Ali Bongui,14 August 1996,2.02 m ( 6 ft 8 in ),75 kg ( 165 lb ),225 cm ( 89 in ),324 cm ( 128 in ),C.S . Sfaxien
20,Saddem Hmissi,16 February 1991,1.86 m ( 6 ft 1 in ),75 kg ( 165 lb ),312 cm ( 123 in ),285 cm ( 112 in ),E.S . Tunis
22,Nabil Miladi,28 February 1988,1.96 m ( 6 ft 5 in ),73 kg ( 161 lb ),355 cm ( 140 in ),340 cm ( 130 in ),E.S . Tunis
