Group Name,Category,Subcategory,Year Designated
"Imperial Household Agency Court Musicians ( 宮内庁式部職楽部 , Kunaichō Shikibushoku Gakubu )",Gagaku,,1955
"Japan Noh Association ( 日本能楽会 , Nihon Nōgaku-kai )",Noh,,1957
"Bunrakuza ( 人形浄瑠璃文楽座 , Ningyō Jōruri Bunrakuza )",Bunraku,,1955
"Traditional Kabuki Preservation Society ( 伝統歌舞伎保存会 , Dentō Kabuki Hozonkai )",Kabuki,,1965
"Traditional Kumi Odori Preservation Society ( 伝統組踊保存会 , Dentō Kumi Odori Hozonkai )",Dance,Kumi Odori,1972
"Ryūkyū-buyō Preservation Society ( 琉球舞踊保存会 , Ryūkyūbuyō Hozonkai )",Dance,Ryūkyū-buyō,2009
"Gidayūbushi Preservation Society ( 義太夫節保存会 , Gidayūbushi Hozonkai )",Music,Gidayūbushi,1980
"Tokiwazubushi Preservation Society ( 常磐津節保存会 , Tokiwazubushi Hozonkai )",Music,Tokiwazubushi,1981
"Icchūbushi Preservation Society ( 一中節保存会 , Icchūbushi Hozonkai )",Music,Icchūbushi,1993
"Katōbushi Preservation Society ( 河東節保存会 , Katōbushi Hozonkai )",Music,Katōbushi,1993
"Miyazonobushi Preservation Society ( 宮薗節保存会 , Miyazonobushi Hozonkai )",Music,Miyazonobushi,1993
"Ogiebushi Preservation Society ( 荻江節保存会 , Ogiebushi Hozonkai )",Music,Ogiebushi,1993
