Team,Location,Venue,Capacity
Aktobe,Aktobe,Aktobe Central Stadium,"13,500"
Astana,Astana,Astana Arena,"30,000"
Atyrau,Atyrau,Munayshy Stadium,"0 8,660"
Irtysh,Pavlodar,Pavlodar Central Stadium,"15,000"
Kairat,Almaty,Almaty Central Stadium,"25,057"
Kaisar,Kyzylorda,Gany Muratbayev Stadium,"0 7,300"
Ordabasy,Shymkent,"K. Munaitpasov Stadium , Shymkent","37,000"
Shakhter,Karagandy,Shakhtyor Stadium,"19,000"
Taraz,Taraz,Taraz Central Stadium,"12,525"
Tobol,Kostanay,Kostanay Central Stadium,"0 8,323"
Vostok,Oskemen,Vostok Stadium,"0 8,500"
Zhetysu,Taldykorgan,Zhetysu Stadium,"0 4,000"
