Song title,Artist,Decade,Genre
Ace of Spades '08,Motörhead,1980s,Metal
All the Small Things,Blink-182,2000s,Pop/Rock
Attack,Thirty Seconds to Mars,2000s,Rock
Bad Reputation,Joan Jett,1980s,Rock
Bad to the Bone,George Thorogood & the Destroyers,1980s,Rock
Cherub Rock,Smashing Pumpkins,1990s,Alternative
Debaser,Pixies,1990s,Alternative
Everlong,Foo Fighters,1990s,Alternative
Girl 's Not Grey,AFI,2000s,Alternative
Give It All,Rise Against,2000s,Punk
Hanging on the Telephone,Blondie,1980s,Pop/Rock
Hymn 43,Jethro Tull,1970s,Progressive
Ladybug,The Presidents of the United States of America,2000s,Alternative
Lazy Eye,Silversun Pickups,2000s,Alternative
Learn to Fly,Foo Fighters,1990s,Alternative
Move Along,All-American Rejects,2000s,Pop/Rock
Sabotage,Beastie Boys,1990s,Rock
Simple Man,Lynyrd Skynyrd,1970s,Southern Rock
Take the Money and Run,Steve Miller Band,1970s,Classic Rock
We Got the Beat,The Go-Go 's,1980s,Pop/Rock
