Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Rick Byas,CB,Wayne State,Ind . ( Div . II )
Baltimore Colts,Bill Troup,QB,South Carolina,Ind
Buffalo Bills,Nick Nighswander,C,Morehead State,OVC
Chicago Bears,Mike Hoban,G,Michigan,Big Ten
Chicago Bears,Fred Pagac,TE,Ohio State,Big Ten
Dallas Cowboys,Doug Dennison,RB,Kutztown,PSAC
Dallas Cowboys,Bill Houston,WR,Jackson State,SWAC
Dallas Cowboys,Ron Howard,TE,Seattle University,WCAC
Dallas Cowboys,Louie Walker,LB,Colorado State,WAC
Houston Oilers,Ronnie Coleman,RB,Alabama A & M,SIAC
Houston Oilers,Ed Fisher,G,Arizona State,WAC
Houston Oilers,Dave Jennings,P,St. Lawrence,Ind . ( Div . III )
Houston Oilers,Terry Wells,RB,Southern Miss,Ind
Houston Oilers,C. L. Whittington,S,Prairie View A & M,SWAC
Kansas City Chiefs,Cleo Miller,RB,Arkansas-Pine Bluff,Ind . ( Div . II )
Los Angeles Rams,Don Milan,QB,Cal Poly,CCAA
New England Patriots,Deac Sanders,DB,South Dakota,NCC
New Orleans Saints,Emanuel Zanders,G,Jackson State,SWAC
New York Giants,Karl Chandler,G,Princeton,Ivy
New York Jets,Lou Piccone,WR,West Liberty,WVIAC
