Nominee,Sport,2010 achievement,BBC Profile,Votes ( percentage )
AP McCoy,Horse racing,"Riding Do n't Push It to win the 2010 Grand National at the 15th attempt , having won more races than any jump jockey in history",[ 1 ],"293,152 ( 41.98% )"
Phil Taylor,Darts,"Becoming the World Darts Champion for a record 15th time by winning the 2010 PDC tournament in January 2010 , doing a double 9-Dart Finish in the 2010 PDC Premier League Darts and winning a further six major titles during the year",[ 2 ],"72,095 ( 10.33% )"
Jessica Ennis,Athletics,"Winning the gold medal for the Women 's Heptathlon at the 2010 European Athletics Championships in Barcelona , Spain",[ 3 ],"62,953 ( 9.02% )"
Lee Westwood,Golf,"Becoming the new World Number One male golfer after a successful 2010 season , replacing the long time leader Tiger Woods",[ 4 ],"58,640 ( 8.4% )"
Graeme McDowell,Golf,"Becoming the first European winner of the U.S. Open since 1970 , scoring 284 at the 2010 tournament at Pebble Beach , California",[ 5 ],"52,108 ( 7.46% )"
Tom Daley,Diving,"Winning two gold medals for the Men 's Diving ( 10 metre platform , team and individual ) at the 2010 Commonwealth Games in Delhi , India",[ 6 ],"50,763 ( 7.27% )"
Mark Cavendish,Cycling,"Winning five stages of the Tour de France , followed by taking 3 stages and the Points Jersey in the Vuelta a España",[ 7 ],"44,170 ( 6.33% )"
Amy Williams,Skeleton,"Winning the Gold Medal for the Women 's Skeleton at the 2010 Winter Olympics in Vancouver , Canada , the first British individual winter gold medal in 30 years",[ 8 ],"43,056 ( 6.17% )"
Graeme Swann,Cricket,"For his spin bowling for England against Bangladesh ( May to June ) and Pakistan ( July to September ) , and in the 2010 ICC World Twenty20 competition",[ 9 ],"13,767 ( 1.97% )"
David Haye,Boxing,"Making two successful defences of his WBA World Heavyweight Championship belt , against John Ruiz on 3 April , and Audley Harrison on 13 November",[ 10 ],"7,538 ( 1.08% )"
