Company,Exchange,Symbol,Industry,Date Added
3M,NYSE,NYSE : MMM,Conglomerate,1976-08-09
American Express,NYSE,NYSE : AXP,Financial services,1982-08-30
Apple Inc,NASDAQ,AAPL,Information technology,2015-03-19
Boeing,NYSE,NYSE : BA,Aerospace manufacturer and Arms industry,1987-03-12
Caterpillar Inc,NYSE,NYSE : CAT,Construction and Mining,1991-05-06
Chevron Corporation,NYSE,NYSE : CVX,Petroleum industry,2008-02-19
Cisco Systems,NASDAQ,CSCO,Information technology,2009-06-08
The Coca-Cola Company,NYSE,NYSE : KO,Food industry,1987-03-12
Dow Inc,NYSE,NYSE : DOW,Chemical industry,2019-04-02
ExxonMobil,NYSE,NYSE : XOM,Petroleum industry,1928-10-01
Goldman Sachs,NYSE,NYSE : GS,Financial services,2013-09-20
The Home Depot,NYSE,NYSE : HD,Retailing,1999-11-01
IBM,NYSE,NYSE : IBM,Information technology,1979-06-29
Intel,NASDAQ,INTC,Information technology,1999-11-01
Johnson & Johnson,NYSE,NYSE : JNJ,Pharmaceutical industry,1997-03-17
JPMorgan Chase,NYSE,NYSE : JPM,Financial services,1991-05-06
McDonald 's,NYSE,NYSE : MCD,Food industry,1985-10-30
Merck & Co,NYSE,NYSE : MRK,Pharmaceutical industry,1979-06-29
Microsoft,NASDAQ,MSFT,Information technology,1999-11-01
Nike,NYSE,NYSE : NKE,Apparel,2013-09-20
