Major ethnic groups,Region,Countries,Language family,Pop . ( millions ) ( year )
Akan,West Africa,"Ghana , Ivory Coast","Niger-Congo , Kwa",20
Abyssinians,Horn of Africa,"Ethiopia , Eritrea","Afro-Asiatic , Semitic",
Amhara,Horn of Africa,Ethiopia,"Afro-Asiatic , Semitic",22 ( 2007 )
Chewa,Central Africa,"Malawi , Zambia","Niger-Congo , Bantu",12 ( 2007 )
Fulani,West Africa,"Mauritania , Gambia . Guinea-Bissau , Guinea , Nigeria , Cameroon , Senegal , Mali , Burkina Faso , Benin , Niger , Chad , Sudan , CAR , Ghana , Togo , Sierra Leone","Niger-Congo , Senegambian",20
Hausa,West Africa,"Nigeria , Niger , Benin , Ghana , Cameroon , Chad , Sudan","Afro-Asiatic , Chadic",43
Hutu,Central Africa,"Rwanda , Burundi , Democratic Republic of Congo","Niger-Congo , Bantu",15
Igbo,West Africa,Nigeria,"Niger-Congo , Volta-Niger",34 ( 2017 )
Kanuri,Central Africa,"Nigeria , Niger , Chad and Cameroon","Nilo-Saharan , Saharan",10
Kongo,Central Africa,"Democratic Republic of the Congo , Angola , Republic of the Congo","Niger-Congo , Bantu",10
Luba,Central Africa,Democratic Republic of the Congo,"Niger-Congo , Bantu",15
Maghrebis,North Africa,"Maghreb ( Mauritania , Morocco , Western Sahara ) , Algeria , Tunisia , and Libya","Afro-Asiatic , Semitic",100
Mongo,Central Africa,Democratic Republic of the Congo,"Niger-Congo , Bantu",15
Nilotes,"Nile Valley , East Africa , Central Africa","South Sudan , Sudan , Chad , Central African Republic , Kenya , Uganda , Tanzania , Ethiopia","Nilo-Saharan , Nilotic",22 ( 2007 )
Oromo,Horn of Africa,Ethiopia,"Afro-Asiatic , Cushitic",3 5 ( 2016 )
Shona,East Africa,Zimbabwe and Mozambique,"Niger-Congo , Bantoid",15 ( 2000 )
Somali,Horn of Africa,"Somalia , Djibouti , Ethiopia , Kenya","Afro-Asiatic , Cushitic",20 ( 2009 )
Yoruba,West Africa,"Nigeria , Benin , Togo , Ghana , Ivory Coast , Sierra Leone","Niger-Congo , Volta-Niger",40
Zulu,Southern Africa,South Africa,"Niger-Congo , Bantu",12 ( 2016 )
