Name,Year,Notes
Lewis Burwell Chesty Puller,1922,Resigned from VMI after freshman year to enlist as a private in the U.S. Marine Corps in 1918 ; became lieutenant general and most decorated Marine in U.S. history
Edward M. Almond,1915,Commander of U.S. Army X Corps during Korean War
Mel Brooks,Did not graduate,"During World War II , the U.S. Army used VMI to give technical education and training to soldiers who did not matriculate as cadets nor live within the VMI cadet system . Before becoming a filmmaker , he trained at VMI for 12 weeks"
James E. Brown III,1976,Fellow and past president of Society of Experimental Test Pilots and Fellow of Royal Aeronautical Society
William A . Brown,1980,"U.S. Navy vice admiral , Deputy Commander , United States Transportation Command ( USTRANSCOM )"
Josiah Bunting III,1963,"Superintendent of VMI , 1995-2002 ; Rhodes Scholar ; author"
Withers Burress,1914,"Professor of Military Science and Tactics at VMI ; Commanding General , U.S. Army 100th Infantry Division"
Harry F. Byrd Jr,1935,Senator from Virginia ( 1965-83 )
Richard E. Byrd,1908,"U.S. Navy rear admiral , polar explorer , Medal of Honor recipient ( 1926 )"
Tom C. Clark,1921,"Associate Justice of the Supreme Court of the United States ( 1949-67 ) , United States Attorney General ( 1945-49 )"
Dabney Coleman,1949,Movie and television actor
Harold Coyle,1974,U.S. Army major ; novelist
Charles Allen Culberson,1874,U.S . Senator ; Governor of Texas
Samuel C. Cumming,1917,Decorated USMC Major General during World War II
Jonathan Myrick Daniels,1961,American civil rights activist and one of fifteen modern-day Anglican Church martyrs
James U. Downs,1963,"Senior resident superior court judge in western North Carolina , 1983-2013 ; lawyer in Hickory and Franklin , North Carolina"
Richard Thomas Walker Duke,1844,Confederate Colonel ; Member of U.S. House of Representatives and Virginia House of Delegates
Edward Edmonds,1858,"Confederate Colonel of the 38th Virginia Infantry , killed-in-action during Pickett 's Charge"
John D. Ewing,1913,"Publisher of Shreveport Times , 1931-52"
Moses Jacob Ezekiel,1866,Sculptor
