Date,Co-Hosts,Guests/Segments
July 1,Regis Philbin & Kelly Ripa,"Josh Duhamel , The Real Housewives of New Jersey , Andrew Carmellini"
July 4,Regis Philbin & Kelly Ripa,"Rosario Dawson , Julie Andrews , Summer in the City Week"
July 5,Regis Philbin & Kelly Ripa,"Kevin James , Rose Byrne , Summer in the City Week"
July 6,Regis Philbin & Kelly Ripa,"Larry David , Bernadette Peters , Summer in the City Week"
July 7,Regis Philbin & Kelly Ripa,"Jennifer Aniston , Rick Springfield , Summer in the City Week"
July 8,Regis Philbin & Kelly Ripa,"Jason Bateman , Poppy Montgomery , Summer in the City Week"
July 11,Regis Philbin & Kelly Ripa,"Kyra Sedgwick , Rupert Grint , Fix My Man Week"
July 12,Regis Philbin & Kelly Ripa,"Emma Watson , Fix My Man Week"
July 13,Regis Philbin & Kelly Ripa,"Glenn Close , Blake Shelton , Fix My Man Week"
July 14,Regis Philbin & Kelly Ripa,"Daniel Radcliffe , Joss Stone , Fix My Man Week"
July 15,Regis Philbin & Kelly Ripa,"Lisa Kudrow , Tom Felton , Fix My Man Week"
July 18,Regis Philbin & Kelly Ripa,"Mila Kunis , Do It Week"
July 19,Regis Philbin & Kelly Ripa,"Marisa Tomei , Hot Chelle Rae , Do It Week"
July 20,Regis Philbin & Kelly Ripa,"Justin Timberlake , Andy Grammer , Do It Week"
July 21,Regis Philbin & Kelly Ripa,"Adrian Grenier , Aretha Franklin , Do It Week"
July 22,Regis Philbin & Kelly Ripa,"Jeremy Piven , Thomas Kelly , Do It Week"
July 25,Kelly Ripa & Neil Patrick Harris,"Heidi Klum , Jayma Mays , Rescue Me ! Ambush Makeovers Week"
July 26,Regis Philbin & Kelly Ripa,"Steve Carell , Ray Davies , Rescue Me ! Ambush Makeovers Week"
July 27,Regis Philbin & Kelly Ripa,"Sofia Vergara , OneRepublic , Rescue Me ! Ambush Makeovers Week"
July 28,Regis Philbin & Kelly Ripa,"Julianne Moore , 3 Doors Down , Rescue Me ! Ambush Makeovers Week"
