Year,Champions,Runners-up,Score
1971,Tom Gorman,Jimmy Connors,"6-7 , 7-6 , 4-6 , 7-6 , 6-3"
1972,Jimmy Connors,Andrew Pattison,"7-5 , 6-3 , 7-5"
1973,Jimmy Connors,Charlie Pasarell,"3-6 , 6-3 , 6-3"
1974,Raúl Ramírez,Roscoe Tanner,"3-6 , 7-6 , 6-4"
1975,Vijay Amritraj,Robert Lutz,"6-4 , 7-5"
1976,Roscoe Tanner,Stan Smith,"6-4 , 7-6"
1977,Guillermo Vilas,Brian Gottfried,"6-2 , 6-1"
1978,Arthur Ashe,Robert Lutz,"7-6 , 6-2"
1979,Brian Gottfried,Eddie Dibbs,"6-3 , 6-0"
1980,Robert Lutz,Terry Rocavert,"6-4 , 6-3"
1981,Brian Teacher,John Austin,"6-3 , 6-2"
1982,Jimmy Connors,Brian Gottfried,"7-5 , 6-0"
1983,Brian Teacher,Bill Scanlon,"7-6 , 6-4"
1984,Brad Gilbert,Hank Pfister,"6-3 , 3-6 , 6-3"
