Rank,Wrestler,No . of PPV matches,First PPV match,Latest PPV match
1,Kane,174,SummerSlam 1995,Crown Jewel 2018
2,The Undertaker,172,Survivor Series 1990,Extreme Rules 2019
3,Triple H,170,SummerSlam 1995,Super ShowDown 2019
4,Randy Orton,162,SummerSlam 2003,Royal Rumble 2020
5,John Cena,160,Vengeance 2002,Super Show-Down 2018
6,Big Show,142,WrestleMania XV,SummerSlam 2017
7,Chris Jericho,141,Unforgiven 1999,WWE Greatest Royal Rumble
8,Edge,127,SummerSlam 1998,Royal Rumble 2020
9,Shawn Michaels,116,Survivor Series 1988,Crown Jewel 2018
10,The Miz,111,Armageddon 2004,Royal Rumble 2020
