Division,Line,Services,Stations in Brooklyn,Opened,Continues to
B ( BMT ),04 Fourth Avenue Line,D N R ​ ​ ​,"16 ( 3 express-local stations , 4 part of station complexes , 1 shared with Brighton Line )","June 22 , 1915",Manhattan
B ( IND ),06 Sixth Avenue Line,F ​,0 1,"April 9 , 1936",Manhattan
B ( IND ),08 Eighth Avenue Line,A C ​,0 1,"February 1 , 1933",Manhattan
B ( BMT ),Brighton Line,B Q ​,"20 ( 6 express-local stations ( 1 shared with Franklin Avenue Line ) , 1 part of a station complex , 1 shared with Fourth Avenue Line , 1 shared with Culver Line , 1 shared with Culver , Sea Beach , and West End Lines )","July 2 , 1878",Manhattan
A ( IRT ),Broadway-Seventh Avenue Line,2 3 ​,0 2 ( 1 part of a station complex ),"April 15 , 1919",Manhattan
B ( BMT ),Canarsie Line,L,19 ( 3 part of station complexes ),"July 28 , 1906",Manhattan
B ( IND ),Crosstown Line,G,"11 ( 1 part of a station complex , 1 shared with Fulton Street Line )","August 19 , 1933",Queens
B ( IND ),Culver Line,F G ​,"21 ( 2 part of station complexes , 1 shared with Fulton Street Line , 1 shared with Brighton Line , 1 shared with Brighton , Sea Beach & West End Lines )","March 16 , 1919",N/A
A ( IRT ),Eastern Parkway Line,2 3 4 5 ​ ​ ​,"11 ( 4 express-local stations , 3 part of station complexes )","January 9 , 1908",Manhattan
B ( BMT ),Franklin Avenue Line,S,"0 4 ( 2 part of station complexes , 1 shared with Brighton Line )","August 18 , 1878",N/A
B ( IND ),Fulton Street Line,A C ​,"16 ( 5 express-local stations , 3 part of station complexes , 1 shared with Culver Line , 1 shared with Crosstown Line )","April 9 , 1936",Queens
B ( BMT ),Jamaica Line,J M Z ​,"16 ( 4 express-local stations , 1 part of a station complex )","June 25 , 1888","Manhattan , Queens"
B ( BMT ),Myrtle Avenue Line,M,0 3 ( 1 part of a station complex ),"April 10 , 1888",Queens
A ( IRT ),New Lots Line,3 4 ​ ​ ​,0 7,"November 22 , 1920",N/A
A ( IRT ),Nostrand Avenue Line,2 5 ​,0 7,"August 23 , 1920",N/A
B ( BMT ),Sea Beach Line,N ​,"10 ( 1 part of a station complex , 1 shared with Brighton , Culver & West End Lines )","June 22 , 1915",N/A
B ( BMT ),West End Line,D,"13 ( 1 part of a station complex , 1 shared with Brighton , Culver & Sea Beach Lines )","June 24 , 1916",N/A
