Round,Pick,Player,Recruited from,Club
1,1,Jonathon McCormick,Murray Kangaroos,Carlton
1,2,Allan Murray,Port Adelaide,St Kilda
1,3,Kelvin Moore,Yarra Valley Old Boys,Richmond
1,4,Ricky Mott,Sydney,Fremantle
1,5,Pass,,Western Bulldogs
1,6,Heath James,Sydney,Sydney Swans
1,7,Brad Sewell,North Ballarat U/18,Hawthorn
1,8,Jeffrey Smith,East Perth,Geelong
1,9,Aaron Edwards,Dandenong U/18,West Coast Eagles
1,10,Michael Firrito,Box Hill,Kangaroos
1,11,Adam Fisher,North Ballarat U/18,Melbourne
1,12,Ben Haynes,Richmond,Essendon
1,13,Hayden Skipworth,Adelaide,Adelaide
1,14,Joel Patfull,Norwood,Port Adelaide
1,15,Nick Maxwell,North Ballarat,Collingwood
1,16,Daniel Pratt,North Melbourne,Brisbane Lions
2,17,Laurence Angwin,Box Hill,Carlton
2,18,Jordan Barham,Port Adelaide,St Kilda
2,19,Matthew Shir,Adelaide,Richmond
2,20,Ben Colreavy,Claremont ( WA ),Fremantle
