NM #,Monument name,Description,Townland,Location
342,Ballinafad Castle,Castle,Ballinafad,54°01′34″N 8°20′09″W / 54.026°N 8.3358°W / 54.026 ; -8.3358
373,Castlebaldwin Castle,Castle,Castlebaldwin,54°04′41″N 8°22′10″W / 54.077991°N 8.369474°W / 54.077991 ; -8.369474
523,Cabragh Wedge Tomb ( The Giant 's Grave ),Wedge Tomb,Cabragh ( Leyny ),54°10′27″N 8°40′26″W / 54.1742°N 8.674°W / 54.1742 ; -8.674
568,Carns Cairn,Cairn,Carns ( Calry ),54°15′20″N 8°27′01″W / 54.255449°N 8.450273°W / 54.255449 ; -8.450273
277.01,Carricknagat Megalithic Tombs,Megalithic Tombs,Carricknagat ( Tirerrill ),54°11′19″N 8°24′04″W / 54.188529°N 8.401167°W / 54.188529 ; -8.401167
518,Carrowkeel Passage Tomb Cemetery,Passage Tomb Cemetery,Carrowkeel,54°03′04″N 8°22′26″W / 54.050983°N 8.373918°W / 54.050983 ; -8.373918
153.01,Carrowmore Passage Tomb Cemetery,"Stone circle , Ring barrow , Passage tomb , Ringfort , Megalithic structure , Cashel",Carrowmore,54°15′23″N 8°30′56″W / 54.256371°N 8.515475°W / 54.256371 ; -8.515475
638,Ballymote Castle,Castle,Ballymote,54°05′15″N 8°31′10″W / 54.087412°N 8.519462°W / 54.087412 ; -8.519462
479,Carrowreagh Court Tomb,Court Tomb,Carrowreagh ( Leyny ),54°03′36″N 8°56′32″W / 54.059876°N 8.942182°W / 54.059876 ; -8.942182
277.02,"Cashelore ( Cashel Bir , Bawnboy )",Cashel,Castleore,54°12′36″N 8°22′39″W / 54.210034°N 8.377560°W / 54.210034 ; -8.377560
118,Church Island,Church,Church Island ( Lough Gill ),54°15′13″N 8°23′12″W / 54.253582°N 8.386793°W / 54.253582 ; -8.386793
159,Cashelmore ( Clogher Stone Fort ),Cashel,Clogher,53°56′04″N 8°30′50″W / 53.934457°N 8.513904°W / 53.934457 ; -8.513904
338,Creevykeel Court Tomb,Court Tomb,Creevykeel,54°26′19″N 8°26′00″W / 54.438701°N 8.433365°W / 54.438701 ; -8.433365
433,Cummeen Court Tomb,Cairns,Cummeen,54°16′37″N 8°31′36″W / 54.277039°N 8.526724°W / 54.277039 ; -8.526724
119,Drumcliffe High Crosses & Round Tower,High Crosses & Round Tower,Drumcliffe,54°19′34″N 8°29′42″W / 54.326098°N 8.495028°W / 54.326098 ; -8.495028
277.03,Gortlownan Motte,Motte,Gortlownan,54°13′17″N 8°20′20″W / 54.221474°N 8.338871°W / 54.221474 ; -8.338871
607,Gortnaleck Court Tomb,Court Tomb,Gortnaleck,54°23′04″N 8°29′03″W / 54.384544°N 8.4842°W / 54.384544 ; -8.4842
152,Heapstown Cairn,Cairn,Heapstown,54°05′42″N 8°20′54″W / 54.09509°N 8.348301°W / 54.09509 ; -8.348301
117,Inishmurray Island,Early Medieval Ecclesiastical Site,Inishmurray Island,54°25′54″N 8°39′25″W / 54.431602°N 8.657014°W / 54.431602 ; -8.657014
153.02,Knocknarea passage tombs,Passage tombs & Cairns,Knocknarea,54°15′35″N 8°34′28″W / 54.25968921°N 8.5745°W / 54.25968921 ; -8.5745
