Medal,Name,Sport,Event,Date
Gold,Kaitlyn Jones,Swimming,Youth Women 's 200m Individual Medley,15 Aug
Gold,Maxamillian Schneider,Judo,Boys ' 66kg,21 Aug
Gold,Robin Reynolds,Athletics,Girls ' 400m,21 Aug
Gold,Katelyn Bouyssou,Judo,Girls ' 52kg,22 Aug
Gold,Najee Glass,Athletics,Boys ' Medley Relay,23 Aug
Gold,Myasia Jacobs Robin Reynolds,Athletics,Girls ' Medley Relay,23 Aug
Silver,Celina Merza,Fencing,Cadet Female Sabre,16 Aug
Silver,Kiera Janzen,Swimming,Youth Women 's 400m Freestyle,16 Aug
Silver,Kevin McDowell,Triathlon,Men 's Triathlon,16 Aug
Silver,Alexander Massialas,Fencing,Cadet Male Foil,17 Aug
Silver,Kaitlyn Jones,Swimming,Youth Women 's 200m Backstroke,17 Aug
Silver,Jordan Rogers,Wrestling,Men 's Freestyle 76 kg,17 Aug
Silver,Myasia Jacobs,Athletics,Girls ' 100m,21 Aug
Silver,Devin Bogert,Athletics,Boys ' Javelin Throw,22 Aug
Silver,USA Girls ' Volleyball team Samantha Cash Crystal Graff Micha Hancock Jade Hayes Christina Higgins Madison Kamp Madison Mahaffey Liz McMahon Katie Mitchell Tiffany Morales Olivia Okoro Taylor Simpson,Volleyball,Girls ' Tournament,25 Aug
Bronze,Kelly Whitley,Triathlon,Women 's Triathlon,15 Aug
Bronze,Gregory English,Taekwondo,Boys ' 48kg,15 Aug
Bronze,Jessie Bates,Taekwondo,Girls ' 49kg,16 Aug
Bronze,Katharine Holmes Alexander Massalias Celina Merza Will Spear,Fencing,Mixed Team - Americas 1,18 Aug
Bronze,Kelly Whitley Kevin McDowell,Triathlon,Mixed Relay - Americas 1,19 Aug
