Year,Champion,Coach,Result,Runner-up,Coach
1971,Milwaukee Bucks,Larry Costello,4-1,Los Angeles Lakers,Joe Mullaney
1972,Los Angeles Lakers,Bill Sharman,4-2,Milwaukee Bucks,Larry Costello
1973,Los Angeles Lakers,Bill Sharman,4-1,Golden State Warriors,Al Attles
1974,Milwaukee Bucks,Larry Costello,4-0,Chicago Bulls,Dick Motta
1975,Golden State Warriors,Al Attles,4-3,Chicago Bulls,Dick Motta
1976,Phoenix Suns,John MacLeod,4-3,Golden State Warriors,Al Attles
1977,Portland Trail Blazers,Jack Ramsay,4-0,Los Angeles Lakers,Jerry West
1978,Seattle SuperSonics,Lenny Wilkens,4-2,Denver Nuggets,Larry Brown
1979,Seattle SuperSonics,Lenny Wilkens,4-3,Phoenix Suns,John MacLeod
1980,Los Angeles Lakers,Paul Westhead,4-1,Seattle SuperSonics,Lenny Wilkens
1981,Houston Rockets,Del Harris,4-1,Kansas City Kings,Cotton Fitzsimmons
1982,Los Angeles Lakers,Pat Riley,4-0,San Antonio Spurs,Stan Albeck
1983,Los Angeles Lakers,Pat Riley,4-2,San Antonio Spurs,Stan Albeck
1984,Los Angeles Lakers,Pat Riley,4-2,Phoenix Suns,John MacLeod
1985,Los Angeles Lakers,Pat Riley,4-1,Denver Nuggets,Doug Moe
1986,Houston Rockets,Bill Fitch,4-1,Los Angeles Lakers,Pat Riley
1987,Los Angeles Lakers,Pat Riley,4-0,Seattle SuperSonics,Bernie Bickerstaff
1988,Los Angeles Lakers,Pat Riley,4-3,Dallas Mavericks,John MacLeod
1989,Los Angeles Lakers,Pat Riley,4-0,Phoenix Suns,Cotton Fitzsimmons
1990,Portland Trail Blazers,Rick Adelman,4-2,Phoenix Suns,Cotton Fitzsimmons
