Rank,Region,GDP in mil,Comparable country
1,Gyeonggi,"$ 425,716",Hong Kong
2,Seoul,"$ 408,265",Austria
3,Chungnam,"$ 133,917",Guatemala
4,Gyeongnam,"$ 123,247",Ghana
5,Gyeongbuk,"$ 112,979",Ghana
6,Busan,"$ 92,838",Panama
7,Incheon,"$ 92,453",Panama
8,Ulsan,"$ 81,448",Costa Rica
9,Jeonnam,"$ 77,987",Bolivia
10,Chungbuk,"$ 64,166",Macau
11,Daegu,"$ 56,793",El Salvador
12,Jeonbuk,"$ 53,600",El Salvador
13,Gangwon,"$ 47,688",Laos
14,Daejeon,"$ 41,071",Bosnia and Herzegovina
15,Gwangju,"$ 38,496",Estonia
16,Jeju,"$ 19,335",Haiti
17,Sejong,"$ 12,764",Togo
-,South Korea,"$ 1,934,033",Turkey
