Team,Qualified as,Qualified on,Previous appearances in tournament
Poland,Co-host,18 April 2007,1 ( 2008 )
Ukraine,Co-host,18 April 2007,0 ( debut )
Germany,Group A winner,2 September 2011,"10 ( 1972 , 1976 , 1980 , 1984 , 1988 , 1992 , 1996 , 2000 , 2004 , 2008 )"
Italy,Group C winner,6 September 2011,"7 ( 1968 , 1980 , 1988 , 1996 , 2000 , 2004 , 2008 )"
Netherlands,Group E winner,6 September 2011,"8 ( 1976 , 1980 , 1988 , 1992 , 1996 , 2000 , 2004 , 2008 )"
Spain,Group I winner,6 September 2011,"8 ( 1964 , 1980 , 1984 , 1988 , 1996 , 2000 , 2004 , 2008 )"
England,Group G winner,7 October 2011,"7 ( 1968 , 1980 , 1988 , 1992 , 1996 , 2000 , 2004 )"
Russia,Group B winner,11 October 2011,"9 ( 1960 , 1964 , 1968 , 1972 , 1988 , 1992 , 1996 , 2004 , 2008 )"
France,Group D winner,11 October 2011,"7 ( 1960 , 1984 , 1992 , 1996 , 2000 , 2004 , 2008 )"
Greece,Group F winner,11 October 2011,"3 ( 1980 , 2004 , 2008 )"
Denmark,Group H winner,11 October 2011,"7 ( 1964 , 1984 , 1988 , 1992 , 1996 , 2000 , 2004 )"
Sweden,Best runner-up,11 October 2011,"4 ( 1992 , 2000 , 2004 , 2008 )"
Croatia,Play-off winner,15 November 2011,"3 ( 1996 , 2004 , 2008 )"
Czech Republic,Play-off winner,15 November 2011,"7 ( 1960 , 1976 , 1980 , 1996 , 2000 , 2004 , 2008 )"
Portugal,Play-off winner,15 November 2011,"5 ( 1984 , 1996 , 2000 , 2004 , 2008 )"
Republic of Ireland,Play-off winner,15 November 2011,1 ( 1988 )
