Rank,Athlete,Nationality,Time
1,Paul Kirui,Kenya,1:02:15
2,Fabiano Joseph,Tanzania,1:02:31
3,Ahmed Hassan Abdullah,Qatar,1:02:36
4,John Cheruiyot Korir,Kenya,1:02:38
5,Solomon Tsige,Ethiopia,1:02:42
6,Alene Emere,Ethiopia,1:02:52
7,Wilson Busienei,Uganda,1:02:55
8,Wilson Kiprotich Kebenei,Kenya,1:03:02
9,Berhanu Addane,Ethiopia,1:03:03
10,Abebe Dinkessa,Ethiopia,1:04:06
11,Yonas Kifle,Eritrea,1:04:19
12,Ayele Setegne,Israel,1:04:41
13,Martin Toroitich,Uganda,1:04:48
14,Yukinobu Nakazaki,Japan,1:04:48
15,Samson Kiflemariam,Eritrea,1:05:00
16,Yoshinori Oda,Japan,1:05:03
17,Terumasa Okamura,Japan,1:05:19
18,Justin Young,United States,1:05:33
19,Aziz Driouche,Morocco,1:05:41
20,Lewis Masunda,Zimbabwe,1:05:42
