Caliber ( mm ),Weapon name,Country of origin,Period
37,M6 Gun Motor Carriage,United States,World War II
47,Laffly W15TCC,France,World War II
47,Panzerjäger I,Nazi Germany,World War II
47,Semovente 47/32,Italy,World War II
57,AEC Mk I Gun Carrier,United Kingdom,World War II
57,6 pounder Anti-tank Gun portee,United Kingdom,World War II
57,T48 Gun Motor Carriage,United States,World War II
57,ZiS-30,Soviet Union,World War II
75,Jagdpanzer 38 ( t ) / Hetzer,Nazi Germany,World War II
75,Jagdpanzer IV Sd.Kfz . 162,Nazi Germany,World War II
75,Marder I,Nazi Germany,World War II
75,Marder II,Nazi Germany,World War II
75,Marder III Sd.Kfz . 138,Nazi Germany,World War II
75,Type 1 Ho-Ni I,Japan,World War II
75,Type 3 Ho-Ni III,Japan,World War II
75,Mareșal tank destroyer,Kingdom of Romania,World War II
75,M3 Gun Motor Carriage,United States,World War II
76.2,"Marder III , Sd.Kfz . 139",Nazi Germany,World War II
76.2,"SP 17pdr , Valentine , Mk I , Archer",United Kingdom,World War II
76.2,17pdr SP M10 Achilles,United Kingdom,World War II
