Scientific name,Common name,Classified,Conservation status
Allenopithecus nigroviridis,Allen 's swamp monkey,1907 Pocock,least concern
Miopithecus talapoin,Angolan talapoin,1774 Schreber,least concern
Miopithecus ogouensis,Gabon talapoin,1997 Kingdon,least concern
Erythrocebus patas,patas monkey,1775 Schreber,least concern
Chlorocebus sabaeus,green monkey,1758 Linnaeus,least concern
Chlorocebus aethiops,grivet,1758 Linnaeus,least concern
Chlorocebus djamdjamensis,Bale Mountains vervet,1902 Neumann,vulnerable
Chlorocebus tantalus,tantalus monkey,1841 Ogilby,least concern
Chlorocebus pygerythrus,vervet monkey,1821 F. Cuvier,least concern
Chlorocebus cynosuros,malbrouck,1786 Scopoli,least concern
Cercopithecus dryas,Dryas monkey,1932 Schwarz,critically endangered
Cercopithecus diana,Diana monkey,1758 Linnaeus,vulnerable
Cercopithecus roloway,roloway monkey,1774 Schreber,endangered
Cercopithecus nictitans,greater spot-nosed monkey,1766 Linnaeus,least concern
Cercopithecus mitis,blue monkey,1822 Wolf,least concern
Cercopithecus doggetti,silver monkey,1907 Pocock,least concern
Cercopithecus kandti,golden monkey,1905 Matschie,endangered
Cercopithecus albogularis,Sykes 's monkey,1831 Sykes,least concern
Cercopithecus mona,mona monkey,1774 Schreber,least concern
Cercopithecus campbelli,Campbell 's mona monkey,1838 Waterhouse,least concern
