Name of aircraft,Year in service,Country of origin
Airspeed Oxford,1937,UK
Avro Anson,1936,UK Canada
Blackburn Botha bomber trainer & target tug,1939,UK
Bristol Buckmaster,1945,UK
Beechcraft AT-10 Wichita,1942,US
Cessna AT-8/AT-17/UC-78/JRC Bobcat/Crane,1939,US
Consolidated AT-22/TB-24 Liberator,1943,US
CANT Z.1015 torpedo bomber trainer,1939,Italy
Curtiss AT-9,1941,US
De Havilland Dominie radio trainer,1940,UK
Fairchild AT-21 Gunner,1943,US
Fairey III F target tug,1926,UK
Fairey Battle,1939,UK
Fairey Gordon,1931,UK
Fleet Fort intermediate trainer/radio trainer,1941,Canada
Focke-Wulf Fw 58,1937,Germany
Hanriot H.232,1940,France
Hawker Henley target tug,1938,UK
Kyushu K10W intermediate trainer/target tug,1943,Japan
Kyushu K11W bomber crew trainer,1943,Japan
