Country,Network ( s ),Series premiere,Timeslot
Brazil,Universal Channel Brasil,"July 1 , 2012",Sundays at 17:00
Canada,Global,"April 15 , 2012",Sundays at 10:00 pm
Portugal,TV Séries HD,"May 7 , 2012",Mondays at 10:10 pm
Peru,Universal Channel,"July 7 , 2012",Saturdays 6:00 pm
Malaysia,BeTV,"October 5 , 2012",Friday 9:20 pm
Turkey,Fox Crime,"November 23 , 2012",Fridays 11:00 pm
Greece,Skai TV,"March 5 , 2013",Tuesdays 10:00 pm
France,Série Club,"March 24 , 2013",Sunday 8:50 pm
New Zealand,FOUR,"December 2 , 2013",Tuesdays 10:30 pm
Ireland,RTÉ Two,"February 6 , 2013",Premiered Thurs 12.40am
Mexico,Canal 5,2014,TBA
