#,Title,Characters,Release date,Series
1,Canary Row,"Granny , Sylvester , Tweety","October 7 , 1950",MM
2,Bunker Hill Bunny,"Bugs , Sam","September 23 , 1950",MM
3,Kit for Cat,"Elmer , Sylvester","November 6 , 1948",LT
4,Putty Tat Trouble,"Sylvester , Tweety","February 24 , 1951",LT
5,Bugs and Thugs,"Bugs , Rocky and Mugsy","March 13 , 1954",LT
6,Canned Feud,Sylvester,"February 3 , 1951",LT
7,Lumber Jerks,Goofy Gophers,"June 25 , 1955",LT
8,Speedy Gonzales,"Speedy , Sylvester","September 17 , 1955",MM
9,Tweety 's S.O.S,"Granny , Sylvester , Tweety","September 22 , 1951",MM
10,The Foghorn Leghorn,"Foghorn , Henery","October 9 , 1948",MM
11,Daffy Duck Hunt,"Barnyard , Daffy , Porky","March 26 , 1949",LT
12,Early to Bet,,"May 12 , 1951",MM
13,A Broken Leghorn,"Foghorn , Prissy","September 26 , 1959",LT
14,Devil May Hare,"Bugs , Taz","June 19 , 1954",LT
