,Name on the Register,Date listed,Location,City or town
1,Battle of Tebb 's Bend Monument,"July 17 , 1997 ( # 97000668 )","Romine Loop Rd. , 0.5 miles north of its junction with Kentucky Route 55 37°13′49″N 85°20′49″W / 37.230222°N 85.347056°W / 37.230222 ; -85.347056 ( Battle of Tebb 's Bend Monument )",Campbellsville
2,Battle of Tebbs Bend,"July 28 , 1999 ( # 99000900 )","Off Kentucky Route 55 , Tebbs Bend Rd . 37°14′19″N 85°21′29″W / 37.238611°N 85.358056°W / 37.238611 ; -85.358056 ( Battle of Tebbs Bend )",Campbellsville
3,James Caldwell House,"October 3 , 2011 ( # 11000681 )",105 Colonial Dr. 37°15′56″N 85°22′00″W / 37.265556°N 85.366667°W / 37.265556 ; -85.366667 ( James Caldwell House ),Campbellsville
4,Campbellsville Historic Commercial District,"February 10 , 1983 ( # 83002876 )","Roughly bounded by Columbia Ave. , Broadway , 1st , and Hotchkiss Sts. , both sides of Central Ave. , and railroad tracks 37°20′28″N 85°20′37″W / 37.341111°N 85.343611°W / 37.341111 ; -85.343611 ( Campbellsville Historic Commercial District )",Campbellsville
5,Campbellsville Residential Historic District,"February 7 , 2008 ( # 08000011 )","Roughly bounded by Central Ave. and Duffy , Maple , and Jackson Sts . 37°20′50″N 85°20′43″W / 37.347222°N 85.345278°W / 37.347222 ; -85.345278 ( Campbellsville Residential Historic District )",Campbellsville
6,"Campbellsville School , Stadium and Athletic Field","January 4 , 2007 ( # 06001195 )","230 W. Main St. 37°20′15″N 85°20′55″W / 37.3375°N 85.348611°W / 37.3375 ; -85.348611 ( Campbellsville School , Stadium and Athletic Field )",Campbellsville
7,John Chandler House,"January 8 , 1987 ( # 87000184 )",Off Kentucky Route 210 37°21′52″N 85°24′03″W / 37.364444°N 85.400833°W / 37.364444 ; -85.400833 ( John Chandler House ),Campbellsville
8,Clay Hill,"October 10 , 1975 ( # 75000835 )",5 miles north of Campbellsville on Kentucky Route 55 37°26′18″N 85°21′40″W / 37.438333°N 85.361111°W / 37.438333 ; -85.361111 ( Clay Hill ),Campbellsville
9,"Jonathan Cowherd , Jr. , House","April 11 , 1977 ( # 77000649 )","West of Campbellsville off Kentucky Route 70 37°20′20″N 85°25′22″W / 37.338889°N 85.422778°W / 37.338889 ; -85.422778 ( Jonathan Cowherd , Jr. , House )",Campbellsville
10,Jacob Hiestand House,"February 10 , 1983 ( # 83002877 )",West of Campbellsville off Kentucky Route 210 37°20′59″N 85°22′31″W / 37.349722°N 85.375278°W / 37.349722 ; -85.375278 ( Jacob Hiestand House ),Campbellsville
11,Merchant 's Hotel,"November 25 , 1980 ( # 80001669 )",102 E. Main St. 37°20′26″N 85°20′41″W / 37.340556°N 85.344833°W / 37.340556 ; -85.344833 ( Merchant 's Hotel ),Campbellsville
12,Durham Sanders House,"July 31 , 1996 ( # 96000792 )",1251 Sanders Rd . 37°25′57″N 85°23′22″W / 37.432500°N 85.389444°W / 37.432500 ; -85.389444 ( Durham Sanders House ),Campbellsville
13,Isaac Tate Farm,"August 4 , 2004 ( # 04000802 )",5 miles south of Campbellsville on Kentucky Route 55 37°15′13″N 85°21′58″W / 37.253611°N 85.366111°W / 37.253611 ; -85.366111 ( Isaac Tate Farm ),Campbellsville
14,Taylor County Clerk 's Office,"December 20 , 1977 ( # 77000650 )",Courthouse Sq . 37°20′29″N 85°20′44″W / 37.341389°N 85.345417°W / 37.341389 ; -85.345417 ( Taylor County Clerk 's Office ),Campbellsville
