Original NFL team,Player,Pos,College,Conf
Baltimore Colts,Bernard Henry,WR,Arizona State,Pac-10
Chicago Bears,Dan Rains,LB,Cincinnati,Ind
Chicago Bears,Calvin Thomas,RB,Illinois,Big Ten
Dallas Cowboys,Brian Baldinger,G,Duke,ACC
Denver Broncos,Darren Comeaux,LB,Arizona State,Pac-10
Denver Broncos,Rick Dennison,LB,Colorado State,WAC
Denver Broncos,Rich Karlis,K,Cincinnati,Ind
Green Bay Packers,Larry Rubens,LB,Montana State,Big Sky
New England Patriots,Tim Golden,LB,Florida,SEC
New England Patriots,Dennis Owens,DT,NC State,ACC
New York Giants,Floyd Eddings,WR,California,Pac-10
New York Giants,Jerome Sally,DT,Missouri,Big Eight
New York Jets,Joe Pellegrini,G,Harvard,Ivy
Pittsburgh Steelers,Keith Willis,DE,Northeastern,I-AA Ind
San Diego Chargers,Dennis McKnight,G,Drake,MVC
San Francisco 49ers,Renaldo Nehemiah,WR,Maryland,ACC
San Francisco 49ers,Jeff Stover,DE,Oregon,Pac-10
Seattle Seahawks,Norm Johnson,K,UCLA,Pac-10
Seattle Seahawks,Kani Kauahi,C,Hawaii,WAC
Seattle Seahawks,Joe Nash,DT,Boston College,Ind
