Rank,Country,Team,Time
1,Italy,Stefano Baldini Giacomo Leone Vincenzo Modica,3:07:42
2,Spain,Carlos de la Torre Alejandro Gómez José Manuel García,3:08:36
3,Japan,Toshiyuki Hayata Masatoshi Ibata Katsuhiko Hanada,3:08:43
4,Kenya,Josephat Kiprono Philip Chirchir Charles Tangus,3:09:24
5,Brazil,Delmir dos Santos André Ramos Eduardo do Nascimento,3:11:05
6,France,Paul Arpin Bruno Léger Abdi Djama,3:13:45
7,Ethiopia,Gemechu Kebede Dagne Debela Kidane Gebrmichael,3:13:51
8,United States,John Sence James Herald Jerry Lawson,3:13:52
9,South Africa,Ezael Thlobo Johannes Maremane Meck Mothuli,3:14:04
10,Mexico,Margarito Zamora Pablo Olmedo Castañon Geraldo Morales,3:14:37
11,Great Britain,Dave Swanston Chris Robison Phil Makepeace,3:15:30
12,Russia,Aleksandr Bolkhovitin Vladimir Afanasyev Andrey Shalagin,3:16:57
13,Ukraine,Mykola Rudyk Viktor Rogovoy Aleksandr Kuzin,3:17:24
14,Germany,Jens Karrass Carsten Eich Rainer Huth,3:18:12
15,Zimbabwe,Tendai Chimusasa Josphat Mhandu Fungai Kapanyota,3:18:33
16,Israel,Wodage Zvadya Asaf Bimro Ayele Setegne,3:20:13
17,Czech Republic,Luboš Šubrt Miroslav Sajler Martin Horáček,3:21:07
18,Slovakia,Marcel Matanin Jaroslav Jakubáček Miroslav Plešivka,3:28:59
19,Kyrgyzstan,Leonid Pykhteyev Nazirdin Akylbekov Vladimir Kiselyov,3:29:23
20,Croatia,Drago Paripović Josip Lacković Nedeljko Ravić,3:33:28
