Rank,Name,Nation,Total Points,SP,FS
1,Kevin van der Perren,Belgium,220.17,1,1
2,Samuel Contesti,Italy,207.67,2,2
3,Javier Fernandez,Spain,190.69,3,5
4,Ivan Tretiakov,Russia,185.86,9,3
5,Kensuke Nakaniwa,Japan,185.42,4,4
6,Martin Liebers,Germany,178.14,7,6
7,Philipp Tischendorf,Germany,173.17,8,8
8,Mark Vaillant,France,167.17,13,7
9,Gregor Urbas,Slovenia,164.11,6,9
10,Ari-Pekka Nurmenkari,Finland,161.68,5,10
11,Maxim Shipov,Israel,152.91,11,12
12,Abzal Rakimgaliev,Azerbaijan,152.70,10,14
13,Clemens Brummer,Germany,151.17,12,11
14,Fabio Mascarello,Italy,144.58,14,15
15,Michael Biondi,Germany,142.58,16,13
16,Stefan Lindemann,Germany,134.40,15,16
17,Boyito Mulder,Netherlands,119.81,19,17
18,Luka Čadež,Slovenia,106.30,20,18
19,Georgi Kenchadze,Bulgaria,105.15,18,19
WD,Franz Streubel,Germany,44.27,17,
