Station,Community,Capacity ( MW ),Status
Jagran-II Hydropower Project,"Neelum , Azad Kashmir",48,Under construction . To be operational by Feb 2020
Kurram Tangi Dam- Stage I,"North Waziristan , FATA",83.4,Under construction . To be operational by Apr 2020
Koto Hydropower Plant,"Upper Dir , KPK",40.8,Under construction . To be operational by Jun 2020
Karora Hydropower Plant,"Shangla , KPK",11.8,Under construction . To be operational by Jun 2020
Jabori Hydropower Project,"Mansehra , KPK",10.8,Under construction . To be operational by Jun 2020
Naltar-III Hydropower Project,"Naltar , Gilgit-Baltistan",16,Under construction . To be operational by Jul 2020
Keyal Khwar Hydropower Project,"Kohistan , KPK",128,Under construction . To be operational by Aug 2020
Nara Hydropower Project,"Nara , Sindh",13.6,Under construction . To be operational by Mar 2021
Karot Hydropower Project,"Rawalpindi , Punjab",720,Under construction . To be operational by Apr 2021
Lawi Hydropower Plant,"Chitral , KPK",69,Under construction . To be operational by Nov 2021
Matiltan Hydropower Project,"Swat , KPK",84,Under construction . To be operational by 2021
Suki Kinari Hydropower Project,"Mansehra , KPK",884,Under construction . To be operational by Dec 2022
Naulong Dam,"Jhal Magsi , Balochistan",4.4,Under construction . To be operational by 2022
Sharmai Hydropower Project,"Upper Dir , KPK",150,Under construction . To be operational by 2022
Shagarthang Hydropower Project,"Skardu , Gilgit-Baltistan",26,Under construction . To be operational by 2022
Shingo Kas Hydropower Project,"Dir , KPK",102,Under construction . To be operational by Mar 2024
Dasu Dam ( Stage I ),"Dasu , KPK","2,160",Under construction . To be operational by 2025
Mohmand Dam,"Mohmand Agency , KPK",800,Under construction . To be operational by 2025
Kohala Hydropower Project,"Muzaffarabad , Azad Kashmir","1,124",Under construction . To be operational by 2026
Lower Spat Gah hydropower project,"Kohistan , KPK",496,Under construction . To be operational by 2026
