#,Date,Venue,Opponent,Score,Result,Competition
1,26 May 2008,"Azadi Stadium , Tehran",Zambia,3-2,3-2,Friendly
2,11 August 2008,"Takhti Stadium , Tehran",Qatar,3-0,6-1,2008 WAFF
3,15 August 2008,"Takhti Stadium , Tehran",Jordan,1-0,2-1,2008 WAFF
4,6 January 2010,"National Stadium , Singapore , Kallang",Singapore,1-0,3-1,2011 ACQ
5,11 August 2010,"Hrazdan Stadium , Yerevan",Armenia,1-1,3-1,Friendly
6,11 August 2010,"Hrazdan Stadium , Yerevan",Armenia,3-1,3-1,Friendly
7,24 September 2010,"Amman International Stadium , Amman",Bahrain,1-0,3-0,2010 WAFF
8,24 September 2010,"Amman International Stadium , Amman",Bahrain,2-0,3-0,2010 WAFF
9,6 September 2011,"Jassim Bin Hamad Stadium , Doha",Qatar,1-0,1-1,2014 WCQ
10,11 October 2011,"Azadi Stadium , Tehran",Bahrain,3-0,6-0,2014 WCQ
