Game,Published,Publisher,Platform
4D Sports Boxing,1991,Mindscape / Electronic Arts,"DOS , Amiga , Atari ST"
4D Sports Tennis,1990,Mindscape,DOS
Accolade Comics,1987,Accolade,Commodore 64
Ace of Aces,1987,Accolade,Atari 8-bit family
After Burner,1988,Sega,DOS
Altered Beast,1990,Sega,DOS
Bill Elliott 's NASCAR Challenge,1990,Konami,"MS-DOS , Amiga , Macintosh , NES , handheld"
Castlevania,1990,Konami,DOS
Champions Forever Boxing,1992,NEC,TG-16
Grand Prix Circuit,1988,Accolade,"DOS , Commodore 64 , Amiga , Apple II GS"
Fight Night,1985,Accolade,"Atari 8-bit family , Apple II"
Hardball !,1985,Accolade,"Commodore 64 , Apple II GS"
Mario Andretti 's Racing Challenge,1991,Electronic Arts,DOS
Metal Gear,1990,Ultra Games,Commodore 64
Mission : Impossible,1991,Konami,DOS
Out Run,1989,Sega,DOS
Pipe Dream,1990,Bullet-Proof Software,NES
Stunts ( 4D Sports Driving ),1990,Broderbund / Mindscape,"DOS , Amiga"
Super C,1990,Konami,"Amiga , DOS"
Teenage Mutant Ninja Turtles,1990,Ultra Games/Konami,"DOS , Commodore 64 , Amiga"
