Team,Location,Stadium,Capacity
Bangkok Glass,Pathumthani,Leo Stadium,"7,500"
Bangkok United,Bangkok,Thai-Japanese Stadium,"10,320"
BEC Tero Sasana,Bangkok,Thephasadin Stadium,"6,378"
Buriram PEA,Buriram,i-mobile Stadium,"14,000"
Chonburi,Chonburi,IPE Chonburi Stadium,"12,000"
Muangthong United,Nonthaburi,Yamaha Stadium,"20,000"
Osotspa M-150 Saraburi,Saraburi,Saraburi Stadium,"6,000"
Pattaya United,Chonburi,Nongprue Municipality Football Field,"7,000"
Police United,Pathumthani,Thammasat Stadium,"25,000"
Rajnavy Rayong,Rayong,Rayong Province Stadium,"14,000"
Royal Thai Army,Bangkok,Thai Army Sports Stadium,"15,000"
Samut Songkhram,Samut Songkhram,Samut Songkhram Stadium,"5,000"
Sisaket,Sisaket,Sri Nakhon Lamduan Stadium,"10,000"
Thai Port,Bangkok,PAT Stadium,"12,000"
TOT-CAT,Nonthaburi,Yamaha Stadium,"15,000"
TTM Phichit,Phichit,Phichit Stadium,"5,000"
