Year,Mark,Athlete,Place
1967,90.98,Jānis Lūsis ( URS ),Odessa
1968,91.98,Jānis Lūsis ( URS ),Saarijärvi
1969,92.70,Jorma Kinnunen ( FIN ),Tampere
1970,92.64,Pauli Nevala ( FIN ),Helsinki
1971,90.68,Jānis Lūsis ( URS ),Helsinki
1972,93.80,Jānis Lūsis ( URS ),Stockholm
1973,94.08,Klaus Wolfermann ( FRG ),Leverkusen
1974,89.58,Hannu Siitonen ( FIN ),Rome
1975,91.38,Miklós Németh ( HUN ),Budapest
1976,94.58,Miklós Németh ( HUN ),Montreal
1977,94.10,Miklós Németh ( HUN ),Stockholm
1978,94.22,Michael Wessing ( FRG ),Oslo
1979,93.84,Pentti Sinersaari ( FIN ),Auckland
1980,96.72,Ferenc Paragi ( HUN ),Tata
1981,92.48,Detlef Michel ( GDR ),Berlin
1982,95.80,Bob Roggy ( USA ),Stuttgart
1983,99.72,Tom Petranoff ( USA ),Westwood
1984,104.80,Uwe Hohn ( GDR ),Berlin
1985,96.96,Uwe Hohn ( GDR ),Canberra
