Year,Competition,Venue,Position,Event,Notes
2016,USA Track and Field Olympic Trials,"Hayward Field Eugene , Oregon",2nd,Triple jump,17.39 m ( 57 ft ⁄ 2 in )
2015,USA Outdoor Track and Field Championships,"Eugene , Oregon",7th,Long jump,8.01 m ( 26 ft 3 ⁄ 4 in )
2014,USA Outdoor Track and Field Championships,"Hornet Stadium ( Sacramento ) Sacramento , California",2nd,Triple jump,17.37 m ( 56 ft 11 ⁄ 4 in )
2013,USA Outdoor Track and Field Championships,"Drake Stadium , Des Moines , Iowa",6th,Long jump,8.07 m ( 26 ft 5 ⁄ 2 in )
2012,USA Track and Field Olympic Trials,"Hayward Field Eugene , Oregon",1st,Triple jump,17.63 m ( 57 ft 10 in )
2012,USA Track and Field Olympic Trials,"Hayward Field Eugene , Oregon",4th,Long jump,8.12 m ( 26 ft 7 ⁄ 2 in )
2011,USA Outdoor Track and Field Championships,"Hayward Field , Eugene , Oregon",1st,Triple jump,17.49 m ( 57 ft 4 ⁄ 2 in )
2011,USA Outdoor Track and Field Championships,"Hayward Field , Eugene , Oregon",4th,Long jump,8.07 m ( 26 ft 5 ⁄ 2 in )
2010,USA Outdoor Track and Field Championships,"Drake Stadium , Des Moines , Iowa",2nd,Triple jump,16.76 m ( 54 ft 11 ⁄ 4 in )
2010,USA Outdoor Track and Field Championships,"Drake Stadium , Des Moines , Iowa",12th,Long jump,7.63 m ( 25 ft ⁄ 4 in )
2008,USA Junior Outdoor Track and Field Championships,"Jesse Owens Memorial Stadium , Columbus , Ohio",3rd,Triple jump,16.05 m ( 52 ft 7 ⁄ 4 in )
2008,USA Junior Outdoor Track and Field Championships,"Jesse Owens Memorial Stadium , Columbus , Ohio",2nd,Long jump,7.60 m ( 24 ft 11 in )
2007,USA Youth Outdoor Track and Field Trials,"The Sports Complex at Benedictine University , Lisle , Illinois",2nd,Triple jump,15.49 m ( 50 ft 9 ⁄ 4 in )
