Site,Municipality,Type,Ref
Chikamori Site チカモリ遺跡 Chikamori iseki,Kanazawa,1,1018
Amenomiya Kofun Cluster 雨の宮古墳群 Amenomiya kofun-gun,Nakanoto,1,1015
Kamo Site 加茂遺跡 Kamo iseki,Tsubata,"2 , 6",00003892
Yoshizaki-Suba Site 吉崎・次場遺跡 Yoshizaki-Suba iseki,Hakui,1,1016
Kanazawa Castle Site 金沢城跡 Kanazawa-jō ato,Kanazawa,2,00003596
Kutani Ware Kiln Site 九谷磁器窯跡 Kutani-jiki kama ato,Kaga,6,1011
Kitsuneyama Kofun 狐山古墳 Kitsuneyama kofun,Kaga,1,992
Okyōzuka Site 御経塚遺跡 Okyōzuka iseki,Nonoichi,1,1009
Sandenkanaya Kofun 散田金谷古墳 Sandenkanaya kofun,Hōdatsushimizu,1,1013
Jike Site 寺家遺跡 Jike iseki,Hakui,1,00003746
Nanao Castle Site 七尾城跡 Nanao-jō ato,Nanao,2,993
Suzu Pottery Kiln Sites 珠洲陶器窯跡 Suzu-tōki kama ato,"Suzu , Noto",6,00003600
Kamiyamada Shell Mound 上山田貝塚 Kamiyamada kaizuka,Kahoku,1,1014
Mawaki Site 真脇遺跡 Mawaki iseki,Noto,1,1019
Susoezoana Kofun 須曽蝦夷穴古墳 Susoezoana kofun,Nanao,1,1012
Mount Sekidō 石動山 Sekidōsan,Nakanoto,3,1010
Tatsumi Canal 辰巳用水附土清水塩硝蔵跡 Tatsumi yōsui tsuketari Tsutchōzu enshō-gura ato,Kanazawa,6,00003660
Torigoe Castle Site 鳥越城跡附 二曲城 跡 Torigoe-jō ato tsuketari Futoge-jō ato,Hakusan,2,1017
Tōdai-ji Yokoe Shōen Sites 東大寺領 横江荘 遺跡 Tōdaiji-ryō Yokoe-no-shō iseki,"Kanazawa , Hakusan",6,1005
Noto Kokubun-ji Site 能登国分寺 跡附建物群跡 Noto Kokubunji ato tsuketari tatemono-gun ato,Nanao,3,1006
