Alphabet,# Chars,Languages,Region,Derived from
Arabic alphabet,28,Arabic,"North Africa , West Asia","Aramaic alphabet , Syriac alphabet , Nabataean alphabet"
Ajami script,33,"Hausa language , Swahili",West Africa,Arabic
Arebica,30,Bosnian,Southeastern Europe,Perso-Arabic
Arwi alphabet,41,Tamil,"Southern India , Sri Lanka",Perso-Arabic
Belarusian Arabic alphabet,32,Belarusian,Eastern Europe,Perso-Arabic
Berber Arabic alphabet ( s ),,various Berber languages,North Africa,Arabic
Chagatai alphabet ( s ),32,Chagatai,Central Asia,Perso-Arabic
Galal alphabet,32,Somali,Horn of Africa,Arabic
Jawi script,36,Malay,Peninsular Malay,Perso-Arabic
Kashmiri alphabet,44,Kashmiri,South Asia,Perso-Arabic
Kazakh Arabic alphabet,35,Kazakh,"Central Asia , China",Perso-Arabic/Chagatai
Khowar alphabet,60,Khowar,South Asia,Perso-Arabic
Kyrgyz Arabic alphabet,33,Kyrgyz,,Perso-Arabic
Kuryan alphabet,44,Korean language,"East Asia , South Korea",Perso-Arabic
Nasta'liq script,,Urdu and others,,Perso-Arabic
Pashto alphabet,45,Pashto,Afghanistan and Pakistan,Perso-Arabic
Pegon alphabet,35,"Javanese , Sundanese",Indonesia,Perso-Arabic
Persian alphabet,32,Persian,Iran,Arabic
Saraiki alphabet,45,Saraiki,Pakistan,Perso-Arabic
Shahmukhi script,37,Punjabi,Pakistan,Perso-Arabic
