Club,Qualified,Champions,Runners-up,Seasons
BuEV Danzig,1,0,0,1912
LSV Danzig,1,0,0,1944
Preußen Danzig,2,0,0,"1934 , 1941"
Preußen Dellbrück,1,0,0,1950
SV Dessau 05,6,0,0,"1937 , 1938 , 1939 , 1942 , 1943 , 1944"
Borussia Dortmund,7,3,2,"1949 , 1950 , 1953 , 1956 , 1957 , 1961 , 1963"
Guts Muths Dresden,1,0,0,1923
Dresdner SC,13,2,1,"1905 , 1926 , 1928 , 1929 , 1930 , 1931 , 1933 , 1934 , 1939 , 1940 , 1941 , 1943 , 1944"
FV Stadt Düdelingen,1,0,0,1942
KSG Duisburg,1,0,0,1944
MSV Duisburg,2,0,0,"1929 , 1931"
Duisburger SV,13,0,1,"1904 , 1905 , 1908 , 1910 , 1911 , 1913 , 1914 , 1921 , 1924 , 1925 , 1926 , 1927 , 1957"
Fortuna Düsseldorf,9,1,1,"1927 , 1928 , 1931 , 1933 , 1936 , 1937 , 1938 , 1939 , 1940"
Düsseldorfer FC 99,1,0,0,1907
TuRU Düsseldorf,1,0,0,1925
