Date,Name,Flag,Tonnage ( GRT ),Convoy,Position
8 April 1941,Helena Margareta,United Kingdom,"3,316",Convoy OG 57,33°00′N 23°52′W / 33.000°N 23.867°W / 33.000 ; -23.867
8 April 1941,Eskdene,United Kingdom,"3,829",Convoy OG 57,34°43′N 24°21′W / 34.717°N 24.350°W / 34.717 ; -24.350
9 April 1941,Harpathian,United Kingdom,"4,671",Convoy OG 57,32°22′N 22°53′W / 32.367°N 22.883°W / 32.367 ; -22.883
9 April 1941,Duffield,United Kingdom,"8,516",Convoy OG 57,31°13′N 23°24′W / 31.217°N 23.400°W / 31.217 ; -23.400
21 April 1941,Calchas,United Kingdom,"10,305",,23°50′N 27°00′W / 23.833°N 27.000°W / 23.833 ; -27.000
30 April 1941,Lassell,United Kingdom,"7,417",Convoy OB 309,12°55′N 28°56′W / 12.917°N 28.933°W / 12.917 ; -28.933
17 May 1941,Marisa,Netherlands,"8,029",,06°10′N 18°09′W / 6.167°N 18.150°W / 6.167 ; -18.150
18 May 1941,Piako,United Kingdom,"8,286",,07°52′N 14°57′W / 7.867°N 14.950°W / 7.867 ; -14.950
27 May 1941,Colonial,United Kingdom,"5,108",Convoy OB 318,09°13′N 15°09′W / 9.217°N 15.150°W / 9.217 ; -15.150
28 May 1941,Papalemos,Greece,"3,748",,08°06′N 16°18′W / 8.100°N 16.300°W / 8.100 ; -16.300
31 May 1941,Sire,United Kingdom,"5,664",,08°50′N 15°30′W / 8.833°N 15.500°W / 8.833 ; -15.500
1 June 1941,Alfred Jones,United Kingdom,"5,013",Convoy OB 320,08°00′N 15°00′W / 8.000°N 15.000°W / 8.000 ; -15.000
8 June 1941,Adda,United Kingdom,"7,816",Convoy OB 323,08°30′N 14°39′W / 8.500°N 14.650°W / 8.500 ; -14.650
13 June 1941,Pandias,Greece,"4,981",,07°49′N 23°28′W / 7.817°N 23.467°W / 7.817 ; -23.467
