Artist,Single,Released,Sales ( in millions )
Tino Rossi,Petit Papa Noël,1946,5.7
"Christina Aguilera , Lil ' Kim , Mýa and Pink",Lady Marmalade,2001,5.5
1910 Fruitgum Company,Simon Says,1967,5
ABBA,Waterloo,1974,5
Gene Austin,My Blue Heaven,1927,5
Gene Autry,That Silver-Haired Daddy of Mine,1935,5
The Beatles,She Loves You,1963,5
Bee Gees,Massachusetts,1967,5
Culture Club,Karma Chameleon,1983,5
Enigma,Sadeness ( Part I ),1990,5
Engelbert Humperdinck,Release Me,1967,5
Terry Jacks,Seasons in the Sun,1974,5
The Jackson 5,I 'll Be There,1970,5
Tommy James and the Shondells,Crimson and Clover,1968,5
Tom Jones,Delilah,1968,5
Jerry Lee Lewis,Great Balls of Fire,1957,5
Kaoma,Lambada,1989,5
Madonna,Like a Prayer,1989,5
Ricky Martin,María,1995,5
Michael Zager Band,Let 's All Chant,1977,5
