Name,Diameter,Name Origin
Catena Abulfeda,219 km,After nearby crater Abulfeda
Catena Artamonov,134 km,After nearby crater Artamonov
Catena Brigitte,5 km,French feminine name
Catena Davy,50 km,After nearby crater Davy
Catena Dziewulski,80 km,After nearby crater Dziewulski
Catena Gregory,152 km,After nearby crater Gregory
Catena Humboldt,165 km,After nearby crater Humboldt
Catena Krafft,60 km,After nearby crater Krafft
Catena Kurchatov,226 km,After nearby crater Kurchatov
Catena Leuschner,364 km,After nearby crater Leuschner
Catena Littrow,10 km,After nearby crater Littrow
Catena Lucretius,271 km,After nearby crater Lucretius
Catena Mendeleev,188 km,After nearby crater Mendeleev
Catena Michelson,456 km,After nearby crater Michelson
Catena Pierre,9 km,French masculine name
Catena Sumner,247 km,After nearby crater Sumner
Catena Sylvester,173 km,After nearby crater Sylvester
Catena Taruntius,100 km,After nearby crater Taruntius
Catena Timocharis,50 km,After nearby crater Timocharis
Catena Yuri,5 km,Russian masculine name
