Round,Pick,Player,Position,Team,College
1,1,Clifton McNeely,F,Pittsburgh Ironmen,Texas Wesleyan
1,2,Glen Selbo,G/F,Toronto Huskies,Wisconsin
1,3,Bulbs Ehlers,G/F,Boston Celtics,Purdue
1,4,Walt Dropo,-,Providence Steamrollers,Connecticut
1,5,Dick Holub,C,New York Knicks,Long Island
1,6,Chink Crossin,G,Philadelphia Warriors,Pennsylvania
1,7,Jack Underman,-,St. Louis Bombers,Ohio State
1,8,Paul Huston,F,Chicago Stags,Ohio State
1,9,Dick O'Keefe,G/F,Washington Capitols,Santa Clara
1,10,Larry Killick,-,Baltimore Bullets,Vermont
